TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,W_ON,W_OFF,W_DIFF,L_ON,L_OFF,L_DIFF,W_PCT_ON,W_PCT_OFF,W_PCT_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,EFG_PCT_ON,EFG_PCT_OFF,EFG_PCT_DIFF,FTA_RATE_ON,FTA_RATE_OFF,FTA_RATE_DIFF,TM_TOV_PCT_ON,TM_TOV_PCT_OFF,TM_TOV_PCT_DIFF,OREB_PCT_ON,OREB_PCT_OFF,OREB_PCT_DIFF,OPP_EFG_PCT_ON,OPP_EFG_PCT_OFF,OPP_EFG_PCT_DIFF,OPP_FTA_RATE_ON,OPP_FTA_RATE_OFF,OPP_FTA_RATE_DIFF,OPP_TOV_PCT_ON,OPP_TOV_PCT_OFF,OPP_TOV_PCT_DIFF,OPP_OREB_PCT_ON,OPP_OREB_PCT_OFF,OPP_OREB_PCT_DIFF
Atlanta Hawks,"Ilyasova, Ersan",29.0,40,-11.0,9.0,10,-1.0,20.0,30,-10.0,0.31,0.25,0.06,745.0,1180.0,-435.0,0.523,0.511,0.012,0.229,0.245,-0.016,0.148,0.159,-0.011,0.239,0.223,0.016,0.547,0.543,0.004,0.244,0.245,-0.001,0.174,0.162,0.012,0.269,0.255,0.014
Atlanta Hawks,"Magette, Josh",8.0,40,-32.0,2.0,10,-8.0,6.0,30,-24.0,0.25,0.25,0.0,64.0,1861.0,-1797.0,0.441,0.518,-0.077,0.252,0.239,0.013,0.124,0.156,-0.032,0.175,0.231,-0.056,0.481,0.547,-0.066,0.167,0.247,-0.08,0.18,0.166,0.014,0.196,0.263,-0.067
Atlanta Hawks,"Muscala, Mike",12.0,40,-28.0,1.0,10,-9.0,11.0,30,-19.0,0.083,0.25,-0.167,227.0,1698.0,-1471.0,0.452,0.524,-0.072,0.281,0.233,0.048,0.153,0.155,-0.002,0.189,0.235,-0.046,0.516,0.549,-0.033,0.297,0.238,0.059,0.151,0.168,-0.017,0.244,0.263,-0.019
Atlanta Hawks,"Plumlee, Miles",21.0,40,-19.0,6.0,10,-4.0,15.0,30,-15.0,0.286,0.25,0.036,390.0,1535.0,-1145.0,0.534,0.511,0.023,0.26,0.234,0.026,0.175,0.15,0.025,0.248,0.224,0.024,0.534,0.548,-0.014,0.169,0.265,-0.096,0.153,0.17,-0.017,0.215,0.273,-0.058
Atlanta Hawks,"Prince, Taurean",40.0,40,0.0,10.0,10,0.0,30.0,30,0.0,0.25,0.25,0.0,1243.0,682.0,561.0,0.529,0.489,0.04,0.212,0.289,-0.077,0.159,0.148,0.011,0.231,0.225,0.006,0.542,0.549,-0.007,0.243,0.248,-0.005,0.166,0.168,-0.002,0.262,0.258,0.004
Atlanta Hawks,"Schroder, Dennis",37.0,40,-3.0,10.0,10,0.0,27.0,30,-3.0,0.27,0.25,0.02,1183.0,742.0,441.0,0.526,0.497,0.029,0.223,0.265,-0.042,0.151,0.161,-0.01,0.227,0.231,-0.004,0.564,0.513,0.051,0.225,0.277,-0.052,0.166,0.166,0.0,0.267,0.251,0.016
Atlanta Hawks,"Taylor, Isaiah",32.0,40,-8.0,8.0,10,-2.0,24.0,30,-6.0,0.25,0.25,0.0,489.0,1436.0,-947.0,0.513,0.516,-0.003,0.301,0.219,0.082,0.161,0.153,0.008,0.239,0.226,0.013,0.517,0.554,-0.037,0.267,0.237,0.03,0.162,0.168,-0.006,0.239,0.268,-0.029
Boston Celtics,"Allen, Kadeem",3.0,43,-40.0,1.0,33,-32.0,2.0,10,-8.0,0.333,0.767,-0.434,8.0,2061.0,-2053.0,0.433,0.518,-0.085,0.333,0.249,0.084,0.116,0.142,-0.026,0.222,0.209,0.013,0.5,0.483,0.017,0.75,0.255,0.495,0.361,0.144,0.217,0.0,0.218,-0.218
Boston Celtics,"Baynes, Aron",43.0,43,0.0,33.0,33,0.0,10.0,10,0.0,0.767,0.767,0.0,795.0,1274.0,-479.0,0.506,0.525,-0.019,0.205,0.278,-0.073,0.138,0.145,-0.007,0.231,0.196,0.035,0.466,0.493,-0.027,0.224,0.275,-0.051,0.15,0.142,0.008,0.176,0.243,-0.067
Boston Celtics,"Bird, Jabari",4.0,43,-39.0,3.0,33,-30.0,1.0,10,-9.0,0.75,0.767,-0.017,22.0,2047.0,-2025.0,0.563,0.517,0.046,0.688,0.246,0.442,0.183,0.142,0.041,0.353,0.208,0.145,0.5,0.483,0.017,0.237,0.256,-0.019,0.222,0.145,0.077,0.318,0.216,0.102
Boston Celtics,"Brown, Jaylen",38.0,43,-5.0,29.0,33,-4.0,9.0,10,-1.0,0.763,0.767,-0.004,1191.0,878.0,313.0,0.529,0.502,0.027,0.248,0.252,-0.004,0.139,0.146,-0.007,0.213,0.205,0.008,0.477,0.492,-0.015,0.247,0.268,-0.021,0.142,0.15,-0.008,0.217,0.218,-0.001
Boston Celtics,"Hayward, Gordon",1.0,43,-42.0,0.0,33,-33.0,1.0,10,-9.0,0.0,0.767,-0.767,5.0,2064.0,-2059.0,0.5,0.518,-0.018,0.0,0.25,-0.25,0.083,0.142,-0.059,0.2,0.209,-0.009,0.375,0.483,-0.108,0.375,0.256,0.119,0.194,0.145,0.049,0.2,0.217,-0.017
Boston Celtics,"Horford, Al",39.0,43,-4.0,29.0,33,-4.0,10.0,10,0.0,0.744,0.767,-0.023,1265.0,804.0,461.0,0.555,0.461,0.094,0.242,0.26,-0.018,0.145,0.138,0.007,0.187,0.239,-0.052,0.483,0.482,0.001,0.229,0.3,-0.071,0.134,0.162,-0.028,0.213,0.223,-0.01
Boston Celtics,"Irving, Kyrie",41.0,43,-2.0,32.0,33,-1.0,9.0,10,-1.0,0.78,0.767,0.013,1335.0,734.0,601.0,0.538,0.479,0.059,0.254,0.241,0.013,0.142,0.143,-0.001,0.204,0.219,-0.015,0.487,0.475,0.012,0.25,0.267,-0.017,0.143,0.149,-0.006,0.225,0.202,0.023
Boston Celtics,"Larkin, Shane",31.0,43,-12.0,25.0,33,-8.0,6.0,10,-4.0,0.806,0.767,0.039,344.0,1725.0,-1381.0,0.466,0.527,-0.061,0.295,0.241,0.054,0.133,0.144,-0.011,0.212,0.209,0.003,0.482,0.483,-0.001,0.266,0.254,0.012,0.163,0.142,0.021,0.231,0.214,0.017
Boston Celtics,"Morris, Marcus",21.0,43,-22.0,17.0,33,-16.0,4.0,10,-6.0,0.81,0.767,0.043,490.0,1579.0,-1089.0,0.516,0.518,-0.002,0.261,0.246,0.015,0.129,0.146,-0.017,0.186,0.217,-0.031,0.489,0.481,0.008,0.217,0.269,-0.052,0.127,0.151,-0.024,0.221,0.216,0.005
Boston Celtics,"Nader, Abdel",19.0,43,-24.0,15.0,33,-18.0,4.0,10,-6.0,0.789,0.767,0.022,151.0,1918.0,-1767.0,0.473,0.521,-0.048,0.246,0.25,-0.004,0.183,0.139,0.044,0.217,0.209,0.008,0.589,0.475,0.114,0.381,0.247,0.134,0.126,0.147,-0.021,0.18,0.22,-0.04
Boston Celtics,"Ojeleye, Semi",38.0,43,-5.0,29.0,33,-4.0,9.0,10,-1.0,0.763,0.767,-0.004,529.0,1540.0,-1011.0,0.476,0.532,-0.056,0.227,0.257,-0.03,0.15,0.139,0.011,0.231,0.201,0.03,0.504,0.476,0.028,0.261,0.254,0.007,0.145,0.145,0.0,0.227,0.214,0.013
Boston Celtics,"Rozier, Terry",43.0,43,0.0,33.0,33,0.0,10.0,10,0.0,0.767,0.767,0.0,992.0,1077.0,-85.0,0.494,0.539,-0.045,0.261,0.239,0.022,0.143,0.141,0.002,0.21,0.209,0.001,0.469,0.496,-0.027,0.266,0.247,0.019,0.145,0.145,0.0,0.223,0.211,0.012
Boston Celtics,"Smart, Marcus",41.0,43,-2.0,31.0,33,-2.0,10.0,10,0.0,0.756,0.767,-0.011,1252.0,817.0,435.0,0.517,0.518,-0.001,0.246,0.255,-0.009,0.138,0.149,-0.011,0.215,0.201,0.014,0.477,0.492,-0.015,0.283,0.215,0.068,0.151,0.136,0.015,0.216,0.219,-0.003
