Playtype,Team,Player,P,GP,Poss,Time,Points,FGM,FGA,PPP,WorsePPP,BetterPPP,FG,aFG,FT,TO,SF,PlusOne,Score
Transition,Chicago Bulls,"Antonio, Blakeney",G,11,17,18.279600143433,20,8,15,1.176470041275,245,121,53.333333333333,60.0,11.764705882353,5.8823529411765,11.764705882353,5.8823529411765,52.941176470588
Transition,Oklahoma City Thunder,"Dakari, Johnson",C,6,3,14.28569984436,5,1,1,1.6666699647903,0,0,100.0,100.0,66.666666666667,0.0,66.666666666667,0.0,100.0
Transition,Memphis Grizzlies,"JaMychal, Green",F,30,37,11.314999580383,45,17,25,1.2162200212479,265,101,68.0,72.0,18.918918918919,13.513513513514,16.216216216216,0.0,62.162162162162
Transition,Charlotte Hornets,"Nicolas, Batum",F-G,35,34,7.3434100151062,33,13,26,0.97058802843094,103,263,50.0,55.769230769231,5.8823529411765,17.647058823529,5.8823529411765,0.0,44.117647058824
Transition,Golden State Warriors,"Omri, Casspi",G,39,43,19.545499801636,62,24,32,1.441859960556,351,15,75.0,78.125,18.604651162791,9.3023255813953,18.604651162791,2.3255813953488,69.767441860465
Transition,Utah Jazz,"Jonas, Jerebko",F,42,45,18.442600250244,49,21,41,1.0888899564743,194,171,51.219512195122,53.658536585366,6.6666666666667,4.4444444444444,4.4444444444444,2.2222222222222,51.111111111111
Transition,Los Angeles Clippers,"Jawun, Evans",G,38,62,20.461999893188,42,15,45,0.67741900682449,12,354,33.333333333333,33.333333333333,14.516129032258,17.741935483871,12.903225806452,4.8387096774194,33.870967741935
Transition,Memphis Grizzlies,"Ben, McLemore",G,28,39,19.117599487305,48,17,28,1.2307699918747,273,90,60.714285714286,71.428571428571,15.384615384615,12.820512820513,10.25641025641,0.0,56.410256410256
Transition,Charlotte Hornets,"Malik, Monk",G,11,14,10.526300430298,20,8,13,1.4285700321198,184,26,61.538461538462,69.230769230769,7.1428571428571,0.0,7.1428571428571,0.0,64.285714285714
Transition,Denver Nuggets,"Malik, Beasley",G,43,42,25.301200866699,46,18,35,1.0952399969101,199,167,51.428571428571,57.142857142857,14.285714285714,7.1428571428571,14.285714285714,4.7619047619048,52.380952380952
Transition,Philadelphia 76ers,"Richaun, Holmes",F,26,25,15.625,32,12,20,1.2799999713898,307,59,60.0,60.0,20.0,4.0,20.0,4.0,64.0
Transition,Chicago Bulls,"Bobby, Portis",F,41,52,10.612199783325,65,25,40,1.25,284,76,62.5,66.25,15.384615384615,13.461538461538,13.461538461538,5.7692307692308,57.692307692308
