TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,W_ON,W_OFF,W_DIFF,L_ON,L_OFF,L_DIFF,W_PCT_ON,W_PCT_OFF,W_PCT_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,PCT_FGA_2PT_ON,PCT_FGA_2PT_OFF,PCT_FGA_2PT_DIFF,PCT_FGA_3PT_ON,PCT_FGA_3PT_OFF,PCT_FGA_3PT_DIFF,PCT_PTS_2PT_ON,PCT_PTS_2PT_OFF,PCT_PTS_2PT_DIFF,PCT_PTS_2PT_MR_ON,PCT_PTS_2PT_MR_OFF,PCT_PTS_2PT_MR_DIFF,PCT_PTS_3PT_ON,PCT_PTS_3PT_OFF,PCT_PTS_3PT_DIFF,PCT_PTS_FB_ON,PCT_PTS_FB_OFF,PCT_PTS_FB_DIFF,PCT_PTS_FT_ON,PCT_PTS_FT_OFF,PCT_PTS_FT_DIFF,PCT_PTS_OFF_TOV_ON,PCT_PTS_OFF_TOV_OFF,PCT_PTS_OFF_TOV_DIFF,PCT_PTS_PAINT_ON,PCT_PTS_PAINT_OFF,PCT_PTS_PAINT_DIFF,PCT_AST_2PM_ON,PCT_AST_2PM_OFF,PCT_AST_2PM_DIFF,PCT_UAST_2PM_ON,PCT_UAST_2PM_OFF,PCT_UAST_2PM_DIFF,PCT_AST_3PM_ON,PCT_AST_3PM_OFF,PCT_AST_3PM_DIFF,PCT_UAST_3PM_ON,PCT_UAST_3PM_OFF,PCT_UAST_3PM_DIFF,PCT_AST_FGM_ON,PCT_AST_FGM_OFF,PCT_AST_FGM_DIFF,PCT_UAST_FGM_ON,PCT_UAST_FGM_OFF,PCT_UAST_FGM_DIFF
Atlanta Hawks,"Ilyasova, Ersan",30.0,41,-11.0,10.0,11,-1.0,20.0,30,-10.0,0.333,0.268,0.065,25.8,29.2,-3.4,0.662,0.659,0.003,0.338,0.341,-0.003,0.536,0.529,0.007,0.133,0.139,-0.006,0.314,0.314,0.0,0.106,0.089,0.017,0.15,0.157,-0.007,0.177,0.182,-0.005,0.403,0.39,0.013,0.511,0.512,-0.001,0.489,0.488,0.001,0.882,0.869,0.013,0.118,0.131,-0.013,0.615,0.613,0.002,0.385,0.387,-0.002
Atlanta Hawks,"Magette, Josh",8.0,41,-33.0,2.0,11,-9.0,6.0,30,-24.0,0.25,0.268,-0.018,8.0,46.6,-38.6,0.631,0.661,-0.03,0.369,0.339,0.03,0.602,0.53,0.072,0.26,0.133,0.127,0.195,0.317,-0.122,0.114,0.095,0.019,0.203,0.152,0.051,0.13,0.182,-0.052,0.341,0.397,-0.056,0.622,0.508,0.114,0.378,0.492,-0.114,0.75,0.877,-0.127,0.25,0.123,0.127,0.644,0.613,0.031,0.356,0.387,-0.031
Atlanta Hawks,"Muscala, Mike",13.0,41,-28.0,2.0,11,-9.0,11.0,30,-19.0,0.154,0.268,-0.114,18.6,42.2,-23.6,0.681,0.658,0.023,0.319,0.342,-0.023,0.521,0.534,-0.013,0.144,0.136,0.008,0.271,0.32,-0.049,0.078,0.098,-0.02,0.208,0.147,0.061,0.168,0.182,-0.014,0.377,0.398,-0.021,0.485,0.515,-0.03,0.515,0.485,0.03,0.889,0.873,0.016,0.111,0.127,-0.016,0.589,0.617,-0.028,0.411,0.383,0.028
Atlanta Hawks,"Plumlee, Miles",22.0,41,-19.0,7.0,11,-4.0,15.0,30,-15.0,0.318,0.268,0.05,18.5,38.2,-19.7,0.663,0.66,0.003,0.337,0.34,-0.003,0.53,0.533,-0.003,0.164,0.13,0.034,0.32,0.312,0.008,0.098,0.095,0.003,0.15,0.155,-0.005,0.16,0.185,-0.025,0.366,0.403,-0.037,0.536,0.505,0.031,0.464,0.495,-0.031,0.872,0.875,-0.003,0.128,0.125,0.003,0.633,0.609,0.024,0.367,0.391,-0.024
Atlanta Hawks,"Prince, Taurean",41.0,41,0.0,11.0,11,0.0,30.0,30,0.0,0.268,0.268,0.0,31.2,16.9,14.3,0.678,0.628,0.05,0.322,0.372,-0.05,0.555,0.487,0.068,0.135,0.14,-0.005,0.308,0.325,-0.017,0.099,0.089,0.01,0.137,0.187,-0.05,0.181,0.178,0.003,0.421,0.347,0.074,0.496,0.546,-0.05,0.504,0.454,0.05,0.899,0.829,0.07,0.101,0.171,-0.07,0.604,0.634,-0.03,0.396,0.366,0.03
Atlanta Hawks,"Schroder, Dennis",38.0,41,-3.0,11.0,11,0.0,27.0,30,-3.0,0.289,0.268,0.021,32.0,18.5,13.5,0.666,0.651,0.015,0.334,0.349,-0.015,0.54,0.519,0.021,0.135,0.138,-0.003,0.317,0.309,0.008,0.101,0.087,0.014,0.144,0.171,-0.027,0.183,0.175,0.008,0.404,0.381,0.023,0.494,0.542,-0.048,0.506,0.458,0.048,0.879,0.866,0.013,0.121,0.134,-0.013,0.602,0.634,-0.032,0.398,0.366,0.032
Atlanta Hawks,"Taylor, Isaiah",33.0,41,-8.0,9.0,11,-2.0,24.0,30,-6.0,0.273,0.268,0.005,14.8,36.2,-21.4,0.65,0.664,-0.014,0.35,0.336,0.014,0.496,0.544,-0.048,0.115,0.144,-0.029,0.32,0.312,0.008,0.09,0.098,-0.008,0.185,0.144,0.041,0.171,0.183,-0.012,0.381,0.4,-0.019,0.536,0.504,0.032,0.464,0.496,-0.032,0.858,0.88,-0.022,0.142,0.12,0.022,0.633,0.608,0.025,0.367,0.392,-0.025
Boston Celtics,"Allen, Kadeem",3.0,43,-40.0,1.0,33,-32.0,2.0,10,-8.0,0.333,0.767,-0.434,2.7,47.9,-45.2,0.4,0.631,-0.231,0.6,0.369,0.231,0.625,0.512,0.113,0.0,0.127,-0.127,0.188,0.334,-0.146,0.125,0.096,0.029,0.188,0.154,0.034,0.25,0.142,0.108,0.625,0.384,0.241,0.4,0.482,-0.082,0.6,0.518,0.082,1.0,0.816,0.184,0.0,0.184,-0.184,0.5,0.584,-0.084,0.5,0.416,0.084
Boston Celtics,"Baynes, Aron",43.0,43,0.0,33.0,33,0.0,10.0,10,0.0,0.767,0.767,0.0,18.5,29.6,-11.1,0.661,0.61,0.051,0.339,0.39,-0.051,0.535,0.498,0.037,0.152,0.112,0.04,0.333,0.333,0.0,0.103,0.092,0.011,0.132,0.168,-0.036,0.164,0.129,0.035,0.383,0.387,-0.004,0.474,0.487,-0.013,0.526,0.513,0.013,0.783,0.837,-0.054,0.217,0.163,0.054,0.565,0.595,-0.03,0.435,0.405,0.03
Boston Celtics,"Bird, Jabari",4.0,43,-39.0,3.0,33,-30.0,1.0,10,-9.0,0.75,0.767,-0.017,5.6,47.6,-42.0,0.5,0.631,-0.131,0.5,0.369,0.131,0.453,0.513,-0.06,0.189,0.126,0.063,0.226,0.335,-0.109,0.038,0.097,-0.059,0.321,0.153,0.168,0.189,0.141,0.048,0.264,0.387,-0.123,0.25,0.484,-0.234,0.75,0.516,0.234,0.75,0.817,-0.067,0.25,0.183,0.067,0.375,0.585,-0.21,0.625,0.415,0.21
