球员,球队,对阵,时间,状态,首发,出场时间,三分球命中,三分球出手,两分球命中,两分球出手,罚球命中,罚球出手,进攻,篮板,助攻,抢断,盖帽,失误,犯规,得分,编号
迈克·哈里斯,四川,北控,2016-10-29,110:89(已结束),1,37.4,1,5,14,17,8,8,0,10,1,0,1,4,4,39,500400
张春军,四川,北控,2016-10-29,110:89(已结束),1,35.6,1,2,2,2,2,3,2,4,1,2,0,2,2,9,501156
徐韬,四川,北控,2016-10-29,110:89(已结束),1,7.2,0,0,0,2,1,2,0,1,0,0,0,0,2,1,501311
孟达,四川,北控,2016-10-29,110:89(已结束),1,37.2,3,4,2,6,0,0,1,3,1,1,0,5,2,13,100026
刘炜,四川,北控,2016-10-29,110:89(已结束),1,40.0,1,2,5,12,1,1,3,6,5,0,0,4,5,14,100060
蔡晨,四川,北控,2016-10-29,110:89(已结束),0,21.4,0,1,6,8,0,0,2,6,2,0,0,0,4,12,501343
杨越,四川,北控,2016-10-29,110:89(已结束),0,3.8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,501309
哈达迪,四川,北控,2016-10-29,110:89(已结束),0,26.2,0,1,6,10,0,0,5,13,4,0,1,3,2,12,501880
王汝恒,四川,北控,2016-10-29,110:89(已结束),0,12.0,0,3,0,0,0,0,0,1,3,0,0,0,3,0,501163
陈辰,四川,北控,2016-10-29,110:89(已结束),0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502296
陈晓东,四川,北控,2016-10-29,110:89(已结束),0,3.8,0,0,0,1,2,2,0,1,1,0,0,0,0,2,100214
吴楠,四川,北控,2016-10-29,110:89(已结束),0,12.2,2,4,1,1,0,0,1,1,0,1,0,0,0,8,500533
宋康明,北控,四川,2016-10-29,110:89(已结束),1,12.5,0,0,2,3,0,0,2,6,0,2,0,2,1,4,500360
杨敬敏,北控,四川,2016-10-29,110:89(已结束),1,28.0,0,2,1,4,0,0,0,1,1,1,0,4,3,2,501463
王振宇,北控,四川,2016-10-29,110:89(已结束),1,23.6,0,5,2,2,1,4,3,6,0,1,0,2,5,5,501666
何敬佳,北控,四川,2016-10-29,110:89(已结束),1,14.2,0,0,1,2,0,1,0,0,0,0,0,0,1,2,501980
麦克克鲁姆,北控,四川,2016-10-29,110:89(已结束),1,41.4,2,4,16,29,6,10,5,7,5,5,3,2,1,44,502330
滕贺麒,北控,四川,2016-10-29,110:89(已结束),0,15.2,0,1,0,0,0,0,1,1,1,1,0,1,4,0,501933
孙伟博,北控,四川,2016-10-29,110:89(已结束),0,9.7,1,2,0,1,0,0,0,1,0,0,0,1,2,3,500554
刘大鹏,北控,四川,2016-10-29,110:89(已结束),0,10.1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,500602
贾俊龙,北控,四川,2016-10-29,110:89(已结束),0,14.1,0,1,1,2,0,0,0,1,0,1,0,0,0,2,501175
E.巴蒂斯塔,北控,四川,2016-10-29,110:89(已结束),0,29.5,0,0,6,12,1,8,6,10,0,1,0,4,3,13,503167
于梁,北控,四川,2016-10-29,110:89(已结束),0,25.0,2,4,1,3,0,0,0,1,0,0,0,0,1,8,100015
贺希宁,北控,四川,2016-10-29,110:89(已结束),0,16.8,0,0,3,5,0,1,0,0,1,0,0,1,0,6,501994
原帅,山西,广东,2016-10-30,109:74(已结束),1,19.7,2,8,1,1,0,0,1,3,1,0,0,1,1,8,501459
J.富兰克林,山西,广东,2016-10-30,109:74(已结束),1,37.0,0,5,9,15,13,13,2,9,4,2,1,3,2,31,502332
任骏威,山西,广东,2016-10-30,109:74(已结束),1,38.3,1,4,9,10,1,1,7,11,2,1,2,1,1,22,501167
闫鹏飞,山西,广东,2016-10-30,109:74(已结束),1,11.9,0,0,1,3,0,0,1,3,0,0,0,1,4,2,501318
曾令旭,山西,广东,2016-10-30,109:74(已结束),1,27.3,1,6,3,3,2,3,0,4,3,1,0,4,0,11,501329
罗智,山西,广东,2016-10-30,109:74(已结束),0,19.5,2,3,0,1,0,0,0,0,2,2,0,1,2,6,100076
张学文,山西,广东,2016-10-30,109:74(已结束),0,24.0,2,4,2,2,0,0,0,0,2,1,1,1,2,10,100201
邢志强,山西,广东,2016-10-30,109:74(已结束),0,9.1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,501319
田桂森,山西,广东,2016-10-30,109:74(已结束),0,5.1,1,1,2,2,0,0,0,0,0,0,0,0,2,7,501320
侯兴宇,山西,广东,2016-10-30,109:74(已结束),0,7.4,0,0,0,1,0,0,0,3,0,0,2,0,0,0,501669
戴勒姆.波特,山西,广东,2016-10-30,109:74(已结束),0,29.3,0,1,4,7,2,2,3,12,2,1,5,3,3,10,503282
王洪,山西,广东,2016-10-30,109:74(已结束),0,11.4,0,0,1,2,0,0,0,2,3,1,0,3,3,2,503544
队伍,山西,广东,2016-10-30,109:74(已结束),0,-,0,0,0,0,0,0,1,5,0,0,0,1,0,0,Te027
朱芳雨,广东,山西,2016-10-30,109:74(已结束),1,23.3,0,4,0,0,0,0,1,3,2,2,1,1,1,0,100003
周鹏,广东,山西,2016-10-30,109:74(已结束),1,23.8,0,5,2,4,0,0,0,1,0,1,2,0,0,4,100007
董瀚麟,广东,山西,2016-10-30,109:74(已结束),1,10.6,0,0,3,4,1,2,2,3,0,0,1,0,2,7,500539
多纳德·斯隆,广东,山西,2016-10-30,109:74(已结束),1,33.9,1,5,3,8,3,3,0,0,6,3,0,3,0,12,501573
杨金蒙,广东,山西,2016-10-30,109:74(已结束),1,19.6,1,6,3,4,0,0,1,1,1,1,0,0,4,9,501399
陈江华,广东,山西,2016-10-30,109:74(已结束),0,3.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,100002
任骏飞,广东,山西,2016-10-30,109:74(已结束),0,34.4,1,3,4,6,1,2,0,2,0,1,0,1,1,12,500672
高尚,广东,山西,2016-10-30,109:74(已结束),0,9.9,0,1,0,1,0,0,1,4,0,0,0,0,0,0,501401
赵天熠,广东,山西,2016-10-30,109:74(已结束),0,5.2,0,0,0,0,2,2,1,1,0,0,0,1,2,2,501408
周湛东,广东,山西,2016-10-30,109:74(已结束),0,12.7,1,2,0,0,2,3,0,1,1,0,0,0,2,5,501893
赵睿,广东,山西,2016-10-30,109:74(已结束),0,33.1,1,6,2,5,5,6,2,5,4,3,1,4,1,12,501938
布泽尔,广东,山西,2016-10-30,109:74(已结束),0,30.7,0,0,4,7,3,4,1,8,1,1,0,3,3,11,503552
队伍,广东,山西,2016-10-30,109:74(已结束),0,-,0,0,0,0,0,0,0,5,0,0,0,2,0,0,Te007
张辉,山东,八一,2016-10-30,102:82(已结束),1,34.4,2,5,1,2,0,0,0,3,3,0,0,3,1,8,501709
丁彦雨航,山东,八一,2016-10-30,102:82(已结束),1,34.4,0,5,3,5,3,4,2,4,1,1,1,1,4,9,501310
曹振华,山东,八一,2016-10-30,102:82(已结束),1,15.4,0,0,2,3,1,2,3,7,0,1,0,1,2,5,400047
睢冉,山东,八一,2016-10-30,102:82(已结束),1,38.4,0,4,2,5,0,0,0,4,4,1,0,2,4,4,500532
贾森·汤普森,山东,八一,2016-10-30,102:82(已结束),1,26.9,0,1,9,16,0,1,2,8,3,0,3,2,3,18,503568
诺里斯·科尔,山东,八一,2016-10-30,102:82(已结束),0,21.3,0,2,5,8,7,8,1,5,10,0,0,1,0,17,503567
陶汉林,山东,八一,2016-10-30,102:82(已结束),0,31.5,0,0,10,14,3,3,3,10,0,0,0,1,3,23,500684
李敬宇,山东,八一,2016-10-30,102:82(已结束),0,22.2,2,5,2,5,0,0,0,4,1,1,0,1,5,10,500331
李泓翰,山东,八一,2016-10-30,102:82(已结束),0,13.3,2,4,0,0,0,0,0,2,0,1,0,0,4,6,501696
文雁行,山东,八一,2016-10-30,102:82(已结束),0,2.3,0,1,0,0,2,2,0,0,0,0,0,0,1,2,501706
队伍,山东,八一,2016-10-30,102:82(已结束),0,-,0,0,0,0,0,0,1,3,0,0,0,0,0,0,Te006
阿尔斯兰,八一,山东,2016-10-30,102:82(已结束),1,33.7,0,1,3,6,1,1,0,0,2,0,0,3,0,7,501769
邹雨宸,八一,山东,2016-10-30,102:82(已结束),1,16.4,0,1,4,9,3,4,2,8,1,0,3,3,3,11,501783
刘航初,八一,山东,2016-10-30,102:82(已结束),1,27.8,0,3,2,6,3,4,0,5,3,0,0,2,1,7,501144
余晨,八一,山东,2016-10-30,102:82(已结束),1,26.0,0,0,3,8,1,2,4,11,0,1,0,1,6,7,501153
曹岩,八一,山东,2016-10-30,102:82(已结束),1,39.4,1,4,6,9,5,8,1,4,0,1,0,0,3,20,501336
德勒黑,八一,山东,2016-10-30,102:82(已结束),0,15.3,0,1,2,6,0,0,1,3,1,2,0,0,2,4,100254
