PLAYER_ID,NAME,TEAM,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
202329,"Aminu, Al-Farouq",POR,Days Rest,2 Days Rest,10,8,2,0.8,310.565,36,79,0.456,18,48,0.375,13,17,0.765,17,67,84,16,15,14,6,1,16,21,103,71,1,0,3,2,4,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,3,3,4,2,2,1,2,2,1
202329,"Aminu, Al-Farouq",POR,Days Rest,3 Days Rest,2,1,1,0.5,63.6333333333,9,23,0.391,7,15,0.467,1,1,1.0,2,13,15,4,2,0,2,0,5,1,26,2,1,0,5,5,2,6,5,4,4,4,4,4,2,4,5,1,5,5,5,4,5,6,4,1,2,4,4,6,5,2,1
202329,"Aminu, Al-Farouq",POR,Days Rest,4 Days Rest,1,1,0,1.0,30.9333333333,0,4,0.0,0,3,0.0,0,2,0.0,1,9,10,0,2,1,0,1,1,1,0,3,0,0,6,5,1,1,6,6,6,6,6,6,6,5,4,5,6,6,6,6,5,4,6,3,1,4,6,5,6,4,1
202329,"Aminu, Al-Farouq",POR,Days Rest,6+ Days Rest,3,2,1,0.667,82.5833333333,9,13,0.692,5,7,0.714,0,0,0.0,4,21,25,2,5,1,1,0,5,0,23,55,0,0,4,4,2,3,4,4,5,1,5,5,1,5,6,5,4,4,4,5,4,4,5,1,2,6,5,3,4,4,1
1626147,"Anderson, Justin",PHI,Location,Home,15,12,3,0.8,206.775,38,85,0.447,16,46,0.348,8,14,0.571,5,26,31,11,6,6,1,7,20,11,100,-38,0,0,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1
1626147,"Anderson, Justin",PHI,Location,Road,18,10,8,0.556,257.486666667,36,89,0.404,12,40,0.3,14,16,0.875,15,33,48,12,8,7,4,6,31,15,98,-56,0,0,1,2,2,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1
1626147,"Anderson, Justin",PHI,Wins/Losses,Wins,22,22,0,1.0,296.326666667,48,112,0.429,18,54,0.333,13,19,0.684,9,36,45,17,9,7,1,7,29,15,127,-47,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1
1626147,"Anderson, Justin",PHI,Wins/Losses,Losses,11,0,11,0.0,167.935,26,62,0.419,10,32,0.313,9,11,0.818,11,23,34,6,5,6,4,6,22,11,71,-47,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1
1626147,"Anderson, Justin",PHI,Month,October,5,2,3,0.4,59.885,8,25,0.32,5,15,0.333,2,4,0.5,3,6,9,1,2,1,1,2,9,3,23,-49,0,0,4,5,4,5,5,5,4,5,4,3,3,4,4,4,3,5,4,5,3,5,2,2,2,5,5,4,5,1,1
1626147,"Anderson, Justin",PHI,Month,November,5,3,2,0.6,66.4033333333,10,23,0.435,4,11,0.364,3,3,1.0,7,11,18,2,2,2,0,1,10,5,27,-3,0,0,4,4,3,3,4,4,5,3,5,5,2,3,5,1,1,3,2,4,3,2,4,1,3,3,4,3,4,1,1
