Playtype,Team,Player,P,GP,Poss,Time,Points,FGM,FGA,PPP,WorsePPP,BetterPPP,FG,aFG,FT,TO,SF,PlusOne,Score
Handoff,Los Angeles Clippers,"Blake, Griffin",F,25,7,2.3026299476624,6,2,5,0.8571429848671,0,0,40.0,50.0,14.285714285714,28.571428571429,14.285714285714,14.285714285714,28.571428571429
Handoff,Detroit Pistons,"Henry, Ellenson",F,8,2,5.0,0,0,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Handoff,Los Angeles Lakers,"Lonzo, Ball",G,35,24,5.417610168457,13,5,22,0.54166698455811,200,16,22.727272727273,29.545454545455,0.0,8.3333333333333,0.0,0.0,20.833333333333
Handoff,Memphis Grizzlies,"Chandler, Parsons",F,26,12,7.8947401046753,14,3,7,1.1666699647903,23,191,42.857142857143,50.0,25.0,16.666666666667,25.0,0.0,50.0
Handoff,Golden State Warriors,"Andre, Iguodala",G-F,36,23,8.0419597625732,15,7,21,0.65217399597168,180,36,33.333333333333,35.714285714286,4.3478260869565,8.695652173913,4.3478260869565,4.3478260869565,30.434782608696
Handoff,Houston Rockets,"Bobby, Brown",G,7,1,5.8823499679565,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Handoff,New Orleans Pelicans,"DeMarcus, Cousins",C,40,8,1.1396000385284,8,3,7,1.0,0,0,42.857142857143,50.0,12.5,0.0,12.5,0.0,50.0
Handoff,New York Knicks,"Kyle, O'Quinn",F,41,4,1.162789940834,2,1,3,0.5,0,0,33.333333333333,33.333333333333,0.0,25.0,0.0,0.0,25.0
Handoff,Orlando Magic,"Shelvin, Mack",G,31,20,10.100999832153,23,8,15,1.1499999761581,28,188,53.333333333333,63.333333333333,10.0,15.0,10.0,0.0,50.0
Handoff,Oklahoma City Thunder,"Paul, George",F-G,39,30,6.849319934845,35,12,23,1.1666699647903,23,191,52.173913043478,65.217391304348,10.0,16.666666666667,10.0,3.3333333333333,46.666666666667
Handoff,Los Angeles Lakers,"Josh, Hart",G,36,16,6.1538500785828,13,4,15,0.8125,127,85,26.666666666667,36.666666666667,6.25,0.0,6.25,0.0,31.25
Handoff,Milwaukee Bucks,"Giannis, Antetokounmpo",G-F,38,15,3.6674799919128,13,6,12,0.86666697263718,105,109,50.0,54.166666666667,0.0,20.0,0.0,0.0,40.0
Handoff,Milwaukee Bucks,"Thon, Maker",F-C,40,4,1.055410027504,3,1,4,0.75,0,0,25.0,37.5,0.0,0.0,0.0,0.0,25.0
Handoff,Boston Celtics,"Marcus, Smart",G,42,52,11.329000473022,43,17,44,0.82692301273346,121,95,38.636363636364,46.590909090909,3.8461538461538,11.538461538462,3.8461538461538,0.0,36.538461538462
Handoff,Memphis Grizzlies,"Jarell, Martin",F,38,7,2.611939907074,5,2,5,0.71428602933884,0,0,40.0,50.0,0.0,28.571428571429,0.0,0.0,28.571428571429
Handoff,Sacramento Kings,"Bogdan, Bogdanovic",G,38,21,8.5714302062988,19,6,17,0.90476202964783,95,121,35.294117647059,47.058823529412,4.7619047619048,14.285714285714,4.7619047619048,0.0,33.333333333333
Handoff,Atlanta Hawks,"Luke, Babbitt",F,30,8,3.9215700626373,7,3,6,0.875,0,0,50.0,58.333333333333,0.0,25.0,0.0,0.0,37.5
Handoff,Atlanta Hawks,"Isaiah, Taylor",G,33,13,6.9518699645996,11,5,12,0.84615397453308,112,104,41.666666666667,45.833333333333,0.0,7.6923076923077,0.0,0.0,38.461538461538
Handoff,Memphis Grizzlies,"Tyreke, Evans",G,39,22,7.2131099700928,26,8,13,1.1818200349808,21,194,61.538461538462,73.076923076923,18.181818181818,22.727272727273,18.181818181818,0.0,54.545454545455
Handoff,Memphis Grizzlies,"James, Ennis",F,38,26,8.8737201690674,34,13,24,1.3076900243759,10,206,54.166666666667,66.666666666667,7.6923076923077,3.8461538461538,7.6923076923077,3.8461538461538,53.846153846154
Handoff,Memphis Grizzlies,"Dillon, Brooks",F,40,31,7.4698801040649,26,8,23,0.83871001005173,116,100,34.782608695652,39.130434782609,16.129032258065,9.6774193548387,12.903225806452,0.0,38.709677419355
Handoff,Chicago Bulls,"Robin, Lopez",C,42,5,0.81300801038742,8,3,5,1.6000000238419,0,0,60.0,70.0,20.0,0.0,20.0,20.0,60.0
Handoff,Denver Nuggets,"Paul, Millsap",F,16,3,1.612900018692,2,0,2,0.66666698455811,0,0,0.0,0.0,33.333333333333,0.0,33.333333333333,0.0,33.333333333333
Handoff,Oklahoma City Thunder,"Alex, Abrines",G-F,38,14,8.0459804534912,16,6,10,1.1428600549698,29,184,60.0,65.0,14.285714285714,14.285714285714,14.285714285714,0.0,57.142857142857
