RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
136,"Alex Caruso, SG",LAL,21,17.7,-0.57,0.88,0.31,0.67
137,"Omri Casspi, F",MEM,36,14.4,-0.91,1.20,0.29,1.15
138,"Pat Connaughton, SG",MIL,57,20.3,0.43,-0.15,0.28,2.46
139,"Jae Crowder, PF",UTAH,76,27.4,1.20,-0.93,0.27,4.55
140,"Eric Gordon, SG",HOU,65,32.1,1.73,-1.49,0.24,4.24
141,"Taj Gibson, PF",MIN,70,24.1,-0.05,0.26,0.21,3.60
142,"Joe Harris, SF",BKN,74,30.1,1.46,-1.26,0.20,4.55
143,"Royce O'Neale, SF",UTAH,78,19.8,-1.67,1.85,0.18,3.23
144,"Ryan Broekhoff, SG",DAL,38,10.1,-0.14,0.31,0.17,0.74
145,"Bogdan Bogdanovic, SG",SAC,66,27.9,0.99,-0.86,0.13,3.85
146,"Ivica Zubac, C",LAC/LAL,56,17.3,-2.17,2.30,0.13,1.91
147,"Klay Thompson, SG",GS,74,34.3,1.88,-1.76,0.12,5.13
148,"Patty Mills, PG",SA,79,23.4,2.28,-2.17,0.11,3.73
149,"Bojan Bogdanovic, SF",IND,79,31.9,1.26,-1.17,0.09,4.89
150,"Alex Len, C",ATL,74,19.7,-0.93,1.00,0.07,3.00
151,"Meyers Leonard, PF",POR,59,14.1,0.55,-0.54,0.01,1.56
152,"Ian Mahinmi, C",WSH,32,14.2,-2.70,2.70,0.00,0.84
153,"Wesley Matthews, SG",DAL/IND/NY,67,30.5,0.41,-0.44,-0.03,4.03
154,"Mitchell Robinson, C",NY,62,20.0,-1.05,1.00,-0.05,2.21
155,"Kyle Kuzma, PF",LAL,70,33.1,0.82,-0.89,-0.07,4.67
156,"Zach Collins, PF",POR,73,17.7,-1.11,1.04,-0.07,2.29
157,"Gordon Hayward, SF",BOS,70,25.7,0.73,-0.81,-0.08,3.32
158,"Goran Dragic, PG",MIA,32,27.3,0.05,-0.16,-0.11,1.52
159,"Harrison Barnes, SF",DAL/SAC,73,33.2,-0.29,0.17,-0.12,4.72
160,"Josh Hart, SG",LAL,67,25.6,-1.78,1.66,-0.12,3.44
161,"Pau Gasol, C",MIL/SA,30,12.0,-2.44,2.30,-0.14,0.65
162,"Mikal Bridges, SF",PHX,79,29.0,-0.16,0.00,-0.16,4.08
