Playtype,Team,Player,P,GP,Poss,Time,Points,FGM,FGA,PPP,WorsePPP,BetterPPP,FG,aFG,FT,TO,SF,PlusOne,Score
PRBallHandler,Utah Jazz,"Ricky, Rubio",G,41,187,42.88990020752,152,61,136,0.81283402442932,180,122,44.852941176471,48.529411764706,7.4866310160428,21.92513368984,6.951871657754,2.1390374331551,37.433155080214
PRBallHandler,Utah Jazz,"Joe, Johnson",F-G,21,17,10.303000450134,16,5,11,0.94117599725723,78,223,45.454545454545,54.545454545455,17.647058823529,23.529411764706,17.647058823529,5.8823529411765,41.176470588235
PRBallHandler,Denver Nuggets,"Will, Barton",G,42,100,27.173900604248,94,38,76,0.93999999761581,81,221,50.0,53.947368421053,6.0,19.0,5.0,1.0,43.0
PRBallHandler,Miami Heat,"Wayne, Ellington",G,42,92,31.724100112915,77,31,73,0.83695697784424,161,141,42.465753424658,47.260273972603,7.6086956521739,14.130434782609,6.5217391304348,1.0869565217391,38.04347826087
PRBallHandler,Charlotte Hornets,"Jeremy, Lamb",G-F,40,80,20.942399978638,62,23,57,0.77499997615814,203,99,40.350877192982,42.982456140351,12.5,20.0,11.25,3.75,37.5
PRBallHandler,Denver Nuggets,"Gary, Harris",G,39,130,32.58150100708,119,44,98,0.91538500785828,95,207,44.897959183673,50.0,10.0,15.384615384615,6.9230769230769,0.76923076923077,42.307692307692
PRBallHandler,Brooklyn Nets,"Rondae, Hollis-Jefferson",F,40,68,14.718600273132,61,27,61,0.89705902338028,104,198,44.262295081967,47.540983606557,4.4117647058824,7.3529411764706,4.4117647058824,1.4705882352941,42.647058823529
PRBallHandler,Philadelphia 76ers,"Robert, Covington",F,37,143,32.873600006104,138,54,113,0.96503502130508,68,234,47.787610619469,51.769911504425,10.48951048951,11.888111888112,8.3916083916084,1.3986013986014,46.153846153846
PRBallHandler,Minnesota Timberwolves,"Jeff, Teague",G,34,201,46.853099822998,171,61,134,0.85074597597122,139,163,45.522388059701,49.626865671642,13.432835820896,22.388059701493,12.437810945274,2.4875621890547,40.298507462687
PRBallHandler,Portland Trail Blazers,"Maurice , Harkless",F,36,77,28.839000701904,70,30,64,0.90909099578857,98,204,46.875,50.0,5.1948051948052,12.987012987013,3.8961038961039,1.2987012987013,42.857142857143
PRBallHandler,Detroit Pistons,"Langston, Galloway",G,34,28,18.918899536133,19,6,16,0.67857098579407,257,45,37.5,37.5,14.285714285714,28.571428571429,10.714285714286,0.0,35.714285714286
PRBallHandler,Philadelphia 76ers,"Ben, Simmons",F,38,133,26.923099517822,122,48,103,0.91729301214218,92,210,46.601941747573,50.485436893204,9.7744360902256,14.285714285714,7.5187969924812,1.5037593984962,43.609022556391
PRBallHandler,San Antonio Spurs,"Danny, Green",G-F,33,120,36.809799194336,104,45,103,0.86666697263718,126,176,43.68932038835,46.601941747573,5.0,10.833333333333,5.0,1.6666666666667,40.833333333333
PRBallHandler,San Antonio Spurs,"Dejounte, Murray",G,44,142,45.806400299072,120,51,116,0.8450700044632,145,157,43.965517241379,47.413793103448,4.9295774647887,14.788732394366,4.2253521126761,1.4084507042254,39.43661971831
PRBallHandler,Minnesota Timberwolves,"Jimmy, Butler",G-F,43,188,36.862701416016,140,53,131,0.74468100070953,227,74,40.458015267176,45.038167938931,8.5106382978723,23.936170212766,8.5106382978723,2.1276595744681,34.574468085106
PRBallHandler,San Antonio Spurs,"Kyle , Anderson",F,36,79,26.779699325562,55,24,60,0.69620299339294,249,53,40.0,41.666666666667,5.0632911392405,18.987341772152,5.0632911392405,0.0,35.443037974684
PRBallHandler,Portland Trail Blazers,"Damian, Lillard",G,36,188,43.318000793457,164,67,150,0.87234002351761,118,184,44.666666666667,46.666666666667,9.0425531914894,12.234042553191,6.9148936170213,1.063829787234,43.085106382979
PRBallHandler,Orlando Magic,"Elfrid, Payton",G,34,178,43.627498626709,174,68,139,0.97752797603607,61,241,48.920863309353,53.956834532374,7.3033707865169,14.606741573034,7.3033707865169,0.0,45.505617977528
PRBallHandler,Orlando Magic,"Terrence, Ross",G,22,62,29.951700210571,42,15,49,0.67741900682449,258,44,30.612244897959,33.673469387755,6.4516129032258,14.516129032258,6.4516129032258,0.0,30.645161290323
PRBallHandler,Memphis Grizzlies,"Marc, Gasol",C,41,4,0.63694298267365,8,2,2,2.0,0,0,100.0,125.0,50.0,25.0,50.0,25.0,75.0
PRBallHandler,Washington Wizards,"Otto, Porter Jr.",F,39,88,24.649900436401,74,29,67,0.84090900421143,152,150,43.283582089552,48.507462686567,7.9545454545455,17.045454545455,7.9545454545455,1.1363636363636,38.636363636364
PRBallHandler,Detroit Pistons,"Ish, Smith",G,41,121,36.890201568604,93,38,80,0.76859498023987,208,94,47.5,48.75,8.2644628099174,25.619834710744,8.2644628099174,0.0,39.669421487603
PRBallHandler,Utah Jazz,"Rodney, Hood",G-F,33,64,29.767400741577,55,17,43,0.859375,131,171,39.53488372093,43.023255813953,18.75,15.625,12.5,1.5625,43.75
PRBallHandler,Philadelphia 76ers,"Timothé, Luwawu-Cabarrot",G,35,63,30.582500457764,54,22,56,0.8571429848671,132,168,39.285714285714,41.964285714286,11.111111111111,4.7619047619048,11.111111111111,4.7619047619048,41.269841269841
PRBallHandler,New Orleans Pelicans,"Ian, Clark",G,36,57,36.774200439453,47,18,43,0.8245609998703,170,132,41.860465116279,44.186046511628,10.526315789474,15.789473684211,8.7719298245614,1.7543859649123,38.59649122807
PRBallHandler,Miami Heat,"Josh, Richardson",G,42,217,41.412200927734,161,60,170,0.74193501472473,230,72,35.294117647059,37.058823529412,10.138248847926,13.364055299539,9.6774193548387,1.8433179723502,35.944700460829
PRBallHandler,Sacramento Kings,"Buddy, Hield",G,40,93,28.792600631714,96,40,80,1.0322599411011,27,274,50.0,55.0,6.4516129032258,8.6021505376344,6.4516129032258,1.0752688172043,48.387096774194
PRBallHandler,Miami Heat,"Tyler, Johnson",G,39,181,44.362701416016,157,60,142,0.86740297079086,125,177,42.253521126761,45.774647887324,12.154696132597,11.602209944751,11.049723756906,2.2099447513812,42.541436464088
PRBallHandler,San Antonio Spurs,"Patty, Mills",G,44,167,46.647998809814,166,66,134,0.99401199817657,55,247,49.253731343284,55.223880597015,7.185628742515,14.37125748503,5.9880239520958,1.7964071856287,44.910179640719
PRBallHandler,Detroit Pistons,"Avery, Bradley",G,34,113,32.378200531006,91,30,72,0.80531001091003,184,118,41.666666666667,45.138888888889,17.699115044248,24.778761061947,14.159292035398,6.1946902654867,38.053097345133
PRBallHandler,Milwaukee Bucks,"Malcolm, Brogdon",G,41,155,35.147399902344,125,47,109,0.80645197629929,183,119,43.119266055046,47.247706422018,11.612903225806,21.290322580645,9.6774193548387,3.2258064516129,38.064516129032
PRBallHandler,New Orleans Pelicans,"E'Twaun, Moore",G,42,131,31.490400314331,113,39,99,0.8625950217247,128,174,39.393939393939,42.929292929293,11.450381679389,14.503816793893,9.9236641221374,1.5267175572519,39.69465648855
PRBallHandler,Brooklyn Nets,"Caris, LeVert",F-G,41,233,49.052600860596,227,86,199,0.97424900531769,62,240,43.21608040201,49.748743718593,7.2961373390558,8.5836909871245,6.4377682403433,1.2875536480687,42.918454935622
PRBallHandler,Brooklyn Nets,"Spencer, Dinwiddie",G,42,265,60.779800415039,253,102,212,0.95471698045731,70,232,48.11320754717,50.235849056604,9.811320754717,10.943396226415,7.9245283018868,0.75471698113208,47.169811320755
PRBallHandler,Phoenix Suns,"Tyler, Ulis",G,43,166,46.629199981689,150,63,131,0.90361398458481,101,201,48.091603053435,51.908396946565,6.6265060240964,15.66265060241,6.6265060240964,1.2048192771084,42.771084337349
PRBallHandler,Milwaukee Bucks,"Eric, Bledsoe",G,32,142,40.687698364258,107,42,97,0.75352102518082,221,81,43.298969072165,46.39175257732,7.7464788732394,25.352112676056,7.0422535211268,1.4084507042254,35.915492957746
PRBallHandler,Utah Jazz,"Joe , Ingles",F,42,127,30.97559928894,101,41,94,0.79527598619461,192,110,43.617021276596,44.68085106383,7.8740157480315,18.897637795276,7.8740157480315,0.78740157480315,39.370078740157
PRBallHandler,Dallas Mavericks,"Wesley, Matthews",G,44,138,29.741399765015,134,50,108,0.97101402282715,64,238,46.296296296296,50.925925925926,12.31884057971,12.31884057971,11.594202898551,2.8985507246377,45.652173913043
PRBallHandler,Portland Trail Blazers,"Shabazz, Napier",G,37,153,48.417701721191,127,47,110,0.83006501197815,168,134,42.727272727273,45.0,11.111111111111,18.300653594771,9.8039215686275,1.3071895424837,40.522875816993
