TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,W_ON,W_OFF,W_DIFF,L_ON,L_OFF,L_DIFF,W_PCT_ON,W_PCT_OFF,W_PCT_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,PTS_OFF_TOV_ON,PTS_OFF_TOV_OFF,PTS_OFF_TOV_DIFF,PTS_2ND_CHANCE_ON,PTS_2ND_CHANCE_OFF,PTS_2ND_CHANCE_DIFF,PTS_FB_ON,PTS_FB_OFF,PTS_FB_DIFF,PTS_PAINT_ON,PTS_PAINT_OFF,PTS_PAINT_DIFF,OPP_PTS_OFF_TOV_ON,OPP_PTS_OFF_TOV_OFF,OPP_PTS_OFF_TOV_DIFF,OPP_PTS_2ND_CHANCE_ON,OPP_PTS_2ND_CHANCE_OFF,OPP_PTS_2ND_CHANCE_DIFF,OPP_PTS_FB_ON,OPP_PTS_FB_OFF,OPP_PTS_FB_DIFF,OPP_PTS_PAINT_ON,OPP_PTS_PAINT_OFF,OPP_PTS_PAINT_DIFF
New Orleans Pelicans,"Crawford, Jordan",2.0,39,-37.0,0.0,20,-20.0,2.0,19,-17.0,0.0,0.513,-0.513,62.2,1.2,61.0,15.5,15.6,-0.1,14.2,11.5,2.7,7.7,13.1,-5.4,41.3,49.9,-8.6,23.2,17.8,5.4,24.5,12.7,11.8,19.4,13.5,5.9,59.4,45.1,14.3
New Orleans Pelicans,"Cunningham, Dante",38.0,39,-1.0,20.0,20,0.0,18.0,19,-1.0,0.526,0.513,0.013,2.6,2.2,0.4,15.4,15.9,-0.5,12.2,11.0,1.2,13.0,13.0,0.0,48.6,50.7,-2.1,17.8,17.9,-0.1,11.7,14.0,-2.3,13.7,13.6,0.1,46.2,44.7,1.5
New Orleans Pelicans,"Davis, Anthony",34.0,39,-5.0,17.0,20,-3.0,17.0,19,-2.0,0.5,0.513,-0.013,1.8,3.3,-1.5,17.3,12.7,4.6,12.6,9.7,2.9,15.0,9.4,5.6,52.7,44.5,8.2,16.9,19.7,-2.8,12.8,13.3,-0.5,13.8,13.3,0.5,42.8,50.0,-7.2
New Orleans Pelicans,"Diallo, Cheick",21.0,39,-18.0,10.0,20,-10.0,11.0,19,-8.0,0.476,0.513,-0.037,15.8,1.3,14.5,17.8,15.5,2.3,9.7,11.7,-2.0,4.4,13.7,-9.3,43.0,50.3,-7.3,26.9,17.1,9.8,16.5,12.7,3.8,12.1,13.8,-1.7,49.7,45.0,4.7
New Orleans Pelicans,"Holiday, Jrue",39.0,39,0.0,20.0,20,0.0,19.0,19,0.0,0.513,0.513,0.0,1.6,5.1,-3.5,16.1,14.0,2.1,12.2,9.3,2.9,14.5,8.3,6.2,52.5,41.1,11.4,17.3,19.8,-2.5,12.3,15.0,-2.7,13.8,13.1,0.7,43.3,52.0,-8.7
New Orleans Pelicans,"Jones, Jalen",4.0,39,-35.0,1.0,20,-19.0,3.0,19,-16.0,0.25,0.513,-0.263,111.9,1.2,110.7,9.6,15.7,-6.1,7.2,11.6,-4.4,12.0,13.0,-1.0,38.5,49.9,-11.4,28.9,17.8,11.1,9.6,13.0,-3.4,26.5,13.5,13.0,43.4,45.4,-2.0
New Orleans Pelicans,"Miller, Darius",39.0,39,0.0,20.0,20,0.0,19.0,19,0.0,0.513,0.513,0.0,2.7,2.1,0.6,14.1,16.8,-2.7,9.7,13.0,-3.3,10.3,15.0,-4.7,44.0,54.2,-10.2,18.1,17.7,0.4,13.5,12.5,1.0,12.3,14.6,-2.3,47.3,43.9,3.4
New Orleans Pelicans,"Moore, E'Twaun",39.0,39,0.0,20.0,20,0.0,19.0,19,0.0,0.513,0.513,0.0,1.8,3.5,-1.7,15.3,16.4,-1.1,11.2,12.3,-1.1,13.5,12.0,1.5,51.9,45.5,6.4,17.2,19.3,-2.1,12.8,13.2,-0.4,15.1,10.6,4.5,46.5,43.2,3.3
New Orleans Pelicans,"Nelson, Jameer",35.0,39,-4.0,19.0,20,-1.0,16.0,19,-3.0,0.543,0.513,0.03,2.9,2.0,0.9,15.0,16.1,-1.1,9.9,12.7,-2.8,9.4,15.5,-6.1,43.4,54.2,-10.8,18.7,17.3,1.4,13.3,12.7,0.6,10.3,16.0,-5.7,43.6,46.7,-3.1
New Orleans Pelicans,"Rondo, Rajon",25.0,39,-14.0,13.0,20,-7.0,12.0,19,-7.0,0.52,0.513,0.007,3.5,1.8,1.7,15.7,15.6,0.1,12.9,10.9,2.0,18.7,10.1,8.6,52.9,48.1,4.8,17.3,18.2,-0.9,14.8,12.0,2.8,17.8,11.5,6.3,49.6,43.2,6.4
New Orleans Pelicans,"Smith, Josh",3.0,39,-36.0,2.0,20,-18.0,1.0,19,-18.0,0.667,0.513,0.154,196.6,1.2,195.4,0.0,15.7,-15.7,16.3,11.5,4.8,0.0,13.1,-13.1,40.8,49.8,-9.0,8.2,17.9,-9.7,0.0,13.0,-13.0,0.0,13.7,-13.7,32.6,45.5,-12.9
Chicago Bulls,"Arcidiacono, Ryan",1.0,41,-40.0,0.0,14,-14.0,1.0,27,-26.0,0.0,0.341,-0.341,369.2,1.2,368.0,0.0,13.8,-13.8,0.0,10.6,-10.6,0.0,10.0,-10.0,16.7,40.1,-23.4,16.7,16.1,0.6,0.0,11.3,-11.3,16.7,11.2,5.5,50.0,44.8,5.2
Chicago Bulls,"Blakeney, Antonio",11.0,41,-30.0,1.0,14,-13.0,10.0,27,-17.0,0.091,0.341,-0.25,14.2,1.3,12.9,13.3,13.8,-0.5,12.1,10.4,1.7,10.9,9.8,1.1,36.6,40.3,-3.7,15.1,16.2,-1.1,12.1,11.2,0.9,11.8,11.2,0.6,43.7,45.0,-1.3
Chicago Bulls,"Dunn, Kris",36.0,41,-5.0,12.0,14,-2.0,24.0,27,-3.0,0.333,0.341,-0.008,2.1,2.5,-0.4,14.0,13.5,0.5,10.5,10.7,-0.2,11.0,8.8,2.2,41.2,38.7,2.5,16.1,16.3,-0.2,10.9,11.8,-0.9,11.8,10.6,1.2,44.9,44.8,0.1
Chicago Bulls,"Felder, Kay",14.0,41,-27.0,4.0,14,-10.0,10.0,27,-17.0,0.286,0.341,-0.055,16.8,1.2,15.6,11.7,13.9,-2.2,8.5,10.7,-2.2,9.9,9.9,0.0,38.2,40.2,-2.0,20.5,15.8,4.7,13.1,11.2,1.9,12.0,11.2,0.8,44.6,44.9,-0.3
Chicago Bulls,"Felicio, Cristiano",24.0,41,-17.0,5.0,14,-9.0,19.0,27,-8.0,0.208,0.341,-0.133,7.2,1.4,5.8,13.2,13.9,-0.7,7.5,11.2,-3.7,9.0,10.1,-1.1,31.9,41.6,-9.7,20.5,15.3,5.2,11.7,11.2,0.5,12.6,11.0,1.6,42.3,45.4,-3.1
Chicago Bulls,"Grant, Jerian",41.0,41,0.0,14.0,14,0.0,27.0,27,0.0,0.341,0.341,0.0,2.6,2.1,0.5,13.9,13.6,0.3,11.1,10.1,1.0,9.0,10.7,-1.7,39.2,40.7,-1.5,16.3,16.0,0.3,11.6,11.0,0.6,10.9,11.5,-0.6,44.6,45.1,-0.5
Chicago Bulls,"Holiday, Justin",40.0,41,-1.0,14.0,14,0.0,26.0,27,-1.0,0.35,0.341,0.009,1.6,3.9,-2.3,13.8,13.6,0.2,10.3,11.1,-0.8,9.7,10.5,-0.8,40.3,39.5,0.8,15.2,18.4,-3.2,10.9,12.2,-1.3,11.6,10.4,1.2,43.1,48.9,-5.8
Chicago Bulls,"Lopez, Robin",41.0,41,0.0,14.0,14,0.0,27.0,27,0.0,0.341,0.341,0.0,2.0,2.8,-0.8,13.4,14.2,-0.8,10.5,10.6,-0.1,9.5,10.6,-1.1,41.6,37.7,3.9,15.9,16.4,-0.5,10.2,12.8,-2.6,11.4,11.1,0.3,44.3,45.7,-1.4
Chicago Bulls,"Markkanen, Lauri",38.0,41,-3.0,11.0,14,-3.0,27.0,27,0.0,0.289,0.341,-0.052,2.0,2.7,-0.7,13.2,14.5,-1.3,10.1,11.1,-1.0,10.1,9.8,0.3,39.4,40.9,-1.5,17.7,14.1,3.6,10.5,12.3,-1.8,11.9,10.4,1.5,45.1,44.5,0.6
Chicago Bulls,"Mirotic, Nikola",17.0,41,-24.0,11.0,14,-3.0,6.0,27,-21.0,0.647,0.341,0.306,5.2,1.5,3.7,14.7,13.5,1.2,11.8,10.2,1.6,9.2,10.1,-0.9,40.6,39.9,0.7,13.7,16.8,-3.1,12.5,11.0,1.5,11.0,11.3,-0.3,49.7,43.5,6.2
Chicago Bulls,"Nwaba, David",29.0,41,-12.0,13.0,14,-1.0,16.0,27,-11.0,0.448,0.341,0.107,3.5,1.7,1.8,14.9,13.2,1.7,11.2,10.2,1.0,11.8,9.0,2.8,41.3,39.4,1.9,15.5,16.5,-1.0,12.6,10.6,2.0,9.9,11.9,-2.0,47.8,43.4,4.4
