AST_ON_MADE,AST_ON_RECEIVED,FG2A_ON_MADE,FG2A_ON_RECEIVED,FG2M_ON_MADE,FG2M_ON_RECEIVED,FG2_PCT_ON_MADE,FG2_PCT_ON_RECEIVED,FG3A_ON_MADE,FG3A_ON_RECEIVED,FG3M_ON_MADE,FG3M_ON_RECEIVED,FG3_PCT_ON_MADE,FG3_PCT_ON_RECEIVED,FGA_ON_MADE,FGA_ON_RECEIVED,FGM_ON_MADE,FGM_ON_RECEIVED,FG_PCT_ON_MADE,FG_PCT_ON_RECEIVED,FREQUENCY_ON_MADE,FREQUENCY_ON_RECEIVED,G_ON_MADE,G_ON_RECEIVED,PASS_ON_MADE,PASS_ON_RECEIVED,PLAYER_NAME,TEAM_NAME
2.0,2.0,7.0,1.0,3.0,1.0,0.429,1.0,2.0,4.0,2.0,1.0,1.0,0.25,9.0,5.0,5.0,2.0,0.556,0.4,0.109,0.06,1,1,29.0,16.0,"Bjelica, Nemanja",Sacramento Kings
2.0,5.0,9.0,6.0,4.0,3.0,0.444,0.5,1.0,11.0,0.0,5.0,0.0,0.455,10.0,17.0,4.0,8.0,0.4,0.471,0.098,0.166,1,1,26.0,44.0,"Hield, Buddy",Sacramento Kings
0.0,2.0,5.0,3.0,1.0,1.0,0.2,0.333,2.0,2.0,0.0,1.0,0.0,0.5,7.0,5.0,1.0,2.0,0.143,0.4,0.091,0.083,1,1,24.0,22.0,"Ariza, Trevor",Sacramento Kings
2.0,0.0,7.0,7.0,1.0,1.0,0.143,0.143,4.0,3.0,1.0,0.0,0.25,0.0,11.0,10.0,2.0,1.0,0.182,0.1,0.091,0.117,1,1,24.0,31.0,"Bogdanovic, Bogdan",Sacramento Kings
1.0,2.0,5.0,7.0,3.0,2.0,0.6,0.286,3.0,1.0,0.0,1.0,0.0,1.0,8.0,8.0,3.0,3.0,0.375,0.375,0.083,0.075,1,1,22.0,20.0,"Barnes, Harrison",Sacramento Kings
1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,1.0,0.667,0.333,0.064,0.038,1,1,17.0,10.0,"Dedmon, Dewayne",Sacramento Kings
0.0,3.0,3.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,0.75,0.15,0.049,1,1,40.0,13.0,"Lyles, Trey",San Antonio Spurs
6.0,3.0,10.0,7.0,6.0,4.0,0.6,0.571,3.0,1.0,1.0,1.0,0.333,1.0,13.0,8.0,7.0,5.0,0.538,0.625,0.15,0.162,1,1,40.0,43.0,"Murray, Dejounte",San Antonio Spurs
3.0,2.0,8.0,3.0,4.0,2.0,0.5,0.667,1.0,4.0,0.0,0.0,0.0,0.0,9.0,7.0,4.0,2.0,0.444,0.286,0.105,0.075,1,1,28.0,20.0,"Gay, Rudy",San Antonio Spurs
4.0,2.0,8.0,13.0,2.0,3.0,0.25,0.231,3.0,1.0,2.0,0.0,0.667,0.0,11.0,14.0,4.0,3.0,0.364,0.214,0.094,0.15,1,1,25.0,40.0,"DeRozan, DeMar",San Antonio Spurs
