RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Vince Carter, SG",SAC,25,15.5,-1.28,0.98,-0.30,0.61
2,"Jamal Crawford, SG",MIN,43,18.8,-0.33,-3.82,-4.15,-0.49
3,"Manu Ginobili, SG",SA,35,21.1,0.51,-0.51,0.00,1.41
4,"Dirk Nowitzki, PF",DAL,43,25.2,1.52,0.53,2.05,3.40
5,"Jason Terry, SG",MIL,15,9.7,-1.84,0.00,-1.84,0.11
6,"Tyson Chandler, C",PHX,31,25.8,-1.95,2.22,0.27,1.78
7,"Pau Gasol, C",SA,41,25.1,-0.01,2.49,2.48,3.41
8,"Richard Jefferson, SF",DEN,11,5.5,-1.84,0.11,-1.73,0.05
9,"Joe Johnson, SG",UTAH,20,21.4,-3.17,-0.72,-3.89,-0.19
10,"Tony Parker, PG",SA,17,21.7,-1.36,-0.44,-1.80,0.29
11,"Zach Randolph, PF",SAC,37,25.5,-0.16,-0.89,-1.05,1.11
12,"Nene Hilario, C",HOU,27,14.9,-0.31,2.27,1.96,1.38
13,"LeBron James, SF",CLE,41,36.8,5.51,-0.24,5.27,7.86
14,"Carmelo Anthony, PF",OKC,41,32.8,1.18,-0.38,0.80,3.14
15,"Nick Collison, PF",OKC,8,5.5,-1.34,1.78,0.44,0.10
16,"Dwyane Wade, SG",CLE,38,23.4,-0.70,0.92,0.22,1.85
17,"Kyle Korver, SG",CLE,41,22.4,2.17,-0.60,1.57,2.65
18,"Zaza Pachulia, C",GS,33,14.5,-0.44,3.16,2.72,1.80
19,"David West, PF",GS,40,13.0,0.53,3.98,4.51,2.41
20,"Udonis Haslem, PF",MIA,8,5.6,-1.70,1.35,-0.35,0.07
21,"Tony Allen, SG",NO,22,12.4,-1.94,0.35,-1.59,0.28
22,"Devin Harris, PG",DAL,37,18.5,0.83,0.68,1.51,1.92
23,"Dwight Howard, C",CHA,39,30.0,-2.03,1.78,-0.25,2.09
24,"Andre Iguodala, SF",GS,36,26.4,-2.09,0.94,-1.15,1.16
25,"Al Jefferson, C",IND,14,13.2,-1.42,1.17,-0.25,0.31
26,"Shaun Livingston, PG",GS,35,16.1,-1.02,0.31,-0.71,0.84
27,"Trevor Ariza, SF",HOU,38,36.2,2.01,0.37,2.38,4.65
28,"Luol Deng, SF",LAL,1,13.0,-1.61,0.38,-1.23,0.02
29,"Jameer Nelson, PG",NO,36,22.2,-1.31,-1.90,-3.21,-0.04
30,"JR Smith, SG",CLE,40,29.8,-0.11,-1.37,-1.48,1.21
31,"Damien Wilkins, SG",IND,19,8.0,-1.79,0.06,-1.73,0.11
32,"Andrew Bogut, C",LAL,24,9.0,-2.18,2.31,0.13,0.47
33,"Raymond Felton, PG",OKC,42,17.1,-0.67,-0.66,-1.33,0.76
34,"Channing Frye, PF",CLE,35,11.7,-0.26,1.10,0.84,1.01
