RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
410,"D.J. Wilson, PF",MIL,19,10.8,-0.65,-1.58,-2.23,-0.22
411,"Cody Zeller, PF",CHA,33,23.5,-0.06,-2.20,-2.25,-0.77
412,"Nicolo Melli, PF",NO,26,14.2,-1.50,-0.76,-2.26,-0.39
413,"Goga Bitadze, C",IND,26,10.1,-1.14,-1.17,-2.31,-0.27
414,"Allen Crabbe, SG",ATL,21,19.0,-1.49,-0.83,-2.32,-0.45
415,"Alfonzo McKinnie, SF",CLE,21,9.6,-0.12,-2.27,-2.38,-0.23
416,"Tony Snell, SG",DET,30,26.2,-1.55,-0.85,-2.39,-0.85
417,"Udonis Haslem, PF",MIA,2,5.5,-1.33,-1.08,-2.41,-0.01
418,"Jordan Poole, SG",GS,29,21.8,-2.47,0.05,-2.43,-0.73
419,"Treveon Graham, SG",MIN,29,21.1,-2.90,0.46,-2.43,-0.71
420,"Torrey Craig, SF",DEN,23,12.5,-1.93,-0.52,-2.45,-0.28
421,"Michael Porter Jr., PF",DEN,24,9.8,0.46,-2.95,-2.49,-0.25
422,"Derrick Jones Jr., SF",MIA,19,23.1,-0.68,-1.84,-2.53,-0.53
423,"Thabo Sefolosha, SF",HOU,23,9.9,-1.31,-1.28,-2.60,-0.30
424,"Luke Kornet, PF",CHI,17,8.9,-1.14,-1.46,-2.60,-0.19
425,"Cam Reddish, SF",ATL,31,25.9,-1.85,-0.77,-2.61,-1.06
426,"Drew Eubanks, PF",SA,5,6.8,-0.60,-2.05,-2.65,-0.05
427,"Jacob Evans, SG",GS,14,13.9,-1.22,-1.44,-2.66,-0.23
428,"Khem Birch, C",ORL,19,21.5,-2.48,-0.25,-2.72,-0.54
429,"Dzanan Musa, SG",BKN,23,13.3,-1.13,-1.64,-2.76,-0.44
430,"Carsen Edwards, PG",BOS,24,10.3,-2.22,-0.60,-2.81,-0.35
431,"Ty Jerome, G",PHX,10,13.4,-1.47,-1.35,-2.83,-0.20
432,"Eric Gordon, SG",HOU,11,28.5,0.80,-3.70,-2.90,-0.46
433,"Georges Niang, SF",UTAH,27,12.0,-1.11,-1.80,-2.92,-0.47
434,"Eric Paschall, PF",GS,30,27.9,-0.03,-2.89,-2.92,-1.22
435,"Darius Garland, PG",CLE,33,28.4,-1.54,-1.42,-2.96,-1.35
436,"Ed Davis, C",UTAH,19,11.5,-2.67,-0.37,-3.04,-0.33
437,"Marko Guduric, SG",MEM,26,14.7,-0.75,-2.32,-3.07,-0.62
438,"Thon Maker, PF",DET,32,11.1,-0.80,-2.32,-3.12,-0.57
439,"DeAndre' Bembry, SG",ATL,33,22.4,-1.53,-1.63,-3.17,-1.26
440,"Taj Gibson, PF",NY,30,16.0,-2.22,-0.98,-3.20,-0.78
441,"Anfernee Simons, SG",POR,34,21.9,-0.42,-2.82,-3.25,-1.25
442,"Kevin Knox II, SF",NY,32,20.1,-1.55,-1.76,-3.31,-1.13
443,"Jerami Grant, PF",DEN,33,23.3,-1.23,-2.22,-3.45,-1.31
444,"Kevin Porter Jr., SG",CLE,32,21.8,-1.94,-1.58,-3.51,-1.24
445,"Jeff Green, F",UTAH,30,18.4,-1.49,-2.07,-3.55,-1.05
446,"Norvel Pelle, SF",PHI,8,9.5,-1.65,-2.00,-3.64,-0.13
447,"Frank Jackson, PG",NO,27,13.1,0.15,-3.83,-3.69,-0.74
448,"Dennis Smith Jr., PG",NY,21,16.1,-1.47,-2.23,-3.70,-0.68
449,"Rui Hachimura, PF",WSH,25,29.2,0.20,-4.04,-3.84,-1.59
450,"Jarred Vanderbilt, PF",DEN,4,3.3,-2.04,-2.29,-4.34,-0.02
451,"Anthony Tolliver, PF",POR,24,16.2,-1.21,-3.27,-4.47,-1.03
452,"Miles Bridges, SF",CHA,36,30.5,-2.74,-2.89,-5.63,-3.38
