RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Paul George, SF",OKC,77,36.9,4.48,3.08,7.56,19.73
2,"James Harden, PG",HOU,78,36.8,7.42,0.07,7.49,18.67
3,"Stephen Curry, PG",GS,69,33.8,5.87,0.75,6.62,14.90
4,"Giannis Antetokounmpo, PF",MIL,72,32.8,3.15,3.36,6.51,14.94
5,"Nikola Jokic, C",DEN,80,31.3,3.78,2.63,6.41,14.80
6,"Joel Embiid, C",PHI,64,33.7,2.51,3.29,5.80,12.09
7,"Anthony Davis, PF",NO,56,33.0,2.53,3.19,5.72,10.79
8,"Nikola Vucevic, C",ORL,80,31.4,1.85,3.60,5.45,13.61
9,"LeBron James, SF",LAL,55,35.2,3.49,1.84,5.33,10.90
10,"Damian Lillard, PG",POR,80,35.5,5.63,-0.52,5.11,14.58
11,"Kevin Durant, SF",GS,78,34.6,4.38,0.70,5.08,14.31
12,"Danny Green, SG",TOR,80,27.7,2.98,1.96,4.94,11.53
13,"Kyle Lowry, PG",TOR,65,34.0,2.77,2.10,4.87,11.28
14,"Chris Paul, PG",HOU,58,32.0,2.33,2.37,4.70,9.10
15,"Rudy Gobert, C",UTAH,81,31.8,0.26,4.44,4.70,13.20
16,"Jrue Holiday, PG",NO,67,35.9,3.38,1.21,4.59,12.25
17,"Al Horford, C",BOS,68,29.0,1.74,2.68,4.42,9.50
18,"Jimmy Butler, SG",MIN/PHI,65,33.6,2.40,2.01,4.41,10.55
19,"Paul Millsap, PF",DEN,70,27.1,1.42,2.82,4.24,8.69
20,"Pascal Siakam, PF",TOR,80,31.9,2.00,2.20,4.20,11.96
21,"Kyrie Irving, PG",BOS,67,33.0,3.72,0.44,4.16,10.24
22,"Brook Lopez, C",MIL,81,28.7,0.60,3.48,4.08,11.09
23,"Jusuf Nurkic, C",POR,72,27.4,0.80,3.26,4.06,8.92
24,"Karl-Anthony Towns, C",MIN,77,33.1,2.99,0.83,3.82,11.30
25,"Marc Gasol, C",TOR/MEM,79,30.8,0.87,2.94,3.81,10.36
26,"Eric Bledsoe, PG",MIL,78,29.1,2.54,1.06,3.60,10.17
27,"Danilo Gallinari, SF",LAC,68,30.3,3.49,-0.02,3.47,8.55
28,"Draymond Green, PF",GS,66,31.3,-0.34,3.72,3.38,8.63
29,"Kevon Looney, C",GS,80,18.5,1.28,2.10,3.38,6.17
30,"Kawhi Leonard, SF",TOR,60,34.0,3.21,0.09,3.30,8.37
31,"Mike Conley, PG",MEM,70,33.5,3.55,-0.45,3.10,9.15
32,"Joe Ingles, SF",UTAH,82,31.3,1.63,1.30,2.93,10.07
33,"Blake Griffin, PF",DET,75,35.0,2.47,0.44,2.91,9.66
34,"Davis Bertans, SF",SA,76,21.5,2.46,0.44,2.90,6.32
35,"Ed Davis, PF",BKN,81,17.9,-1.43,4.19,2.76,5.40
36,"Kemba Walker, PG",CHA,82,34.9,4.18,-1.47,2.71,10.60
37,"Robert Covington, SF",MIN/PHI,35,34.4,-0.79,3.50,2.71,4.34
38,"Patrick Beverley, PG",LAC,78,27.4,1.36,1.33,2.69,7.80
39,"Derrick Favors, PF",UTAH,76,23.2,-0.50,3.10,2.60,6.52
40,"DeMarcus Cousins, C",GS,30,25.7,-0.81,3.37,2.56,2.77
41,"Andre Iguodala, SG",GS,68,23.2,0.72,1.82,2.54,5.57
42,"Russell Westbrook, PG",OKC,73,36.0,2.57,-0.07,2.50,9.75
43,"Andre Drummond, C",DET,79,33.5,0.55,1.81,2.36,8.79
44,"Rudy Gay, SF",SA,69,26.7,0.49,1.78,2.27,6.27
45,"Dwight Powell, PF",DAL,77,21.6,2.22,0.03,2.25,5.63
46,"Marcus Smart, PG",BOS,80,27.5,0.97,1.28,2.25,7.43
47,"Victor Oladipo, SG",IND,36,31.9,0.92,1.29,2.21,3.73
48,"Khris Middleton, SF",MIL,77,31.1,1.79,0.31,2.10,8.24
49,"George Hill, PG",CLE/MIL,60,21.7,0.14,1.95,2.09,4.29
50,"Kelly Olynyk, PF",MIA,79,22.9,0.72,1.35,2.07,5.90
51,"Justise Winslow, SF",MIA,66,29.7,0.17,1.88,2.05,6.28
