RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"James Harden, PG",HOU,38,37.1,7.76,-0.06,7.70,8.89
2,"Anthony Davis, PF",NO,38,36.9,3.93,3.24,7.17,9.24
3,"Paul George, SF",OKC,41,35.7,3.82,2.85,6.67,8.75
4,"Nikola Jokic, C",DEN,41,31.3,4.46,1.83,6.29,7.01
5,"Kyrie Irving, PG",BOS,38,32.1,4.60,0.92,5.52,6.01
6,"Stephen Curry, PG",GS,31,34.5,5.15,0.12,5.27,5.88
7,"Nikola Vucevic, C",ORL,41,30.7,1.94,3.22,5.16,6.42
8,"Kyle Lowry, PG",TOR,33,33.6,3.44,1.65,5.09,5.87
9,"LeBron James, SF",LAL,34,34.6,3.65,1.35,5.00,6.44
10,"Giannis Antetokounmpo, PF",MIL,38,33.6,2.37,2.18,4.55,6.39
11,"Kevin Durant, SF",GS,42,35.6,4.14,0.36,4.50,7.25
12,"Jusuf Nurkic, C",POR,43,27.0,0.67,3.58,4.25,5.17
13,"Rudy Gobert, C",UTAH,44,31.4,0.19,3.86,4.05,6.13
14,"Mike Conley, PG",MEM,41,33.9,3.83,0.04,3.87,5.84
15,"Danilo Gallinari, SF",LAC,41,31.8,4.12,-0.32,3.80,5.44
16,"Jrue Holiday, PG",NO,43,36.6,3.42,0.24,3.66,6.87
17,"Paul Millsap, PF",DEN,33,26.2,0.55,3.02,3.57,3.33
18,"Marcus Smart, PG",BOS,42,26.4,1.10,2.42,3.52,4.18
19,"Marc Gasol, C",MEM,42,34.2,0.74,2.77,3.51,5.67
20,"Damian Lillard, PG",POR,43,35.2,5.00,-1.50,3.50,5.98
21,"Joel Embiid, C",PHI,40,33.7,1.77,1.62,3.39,5.45
22,"Joe Ingles, SF",UTAH,44,31.1,0.90,2.48,3.38,5.43
23,"Eric Bledsoe, PG",MIL,41,29.5,2.31,0.86,3.17,4.86
24,"Pascal Siakam, PF",TOR,43,30.6,1.75,1.38,3.13,5.28
25,"Danny Green, SG",TOR,42,29.3,0.98,2.13,3.11,4.95
26,"Jimmy Butler, SG",MIN/PHI,34,33.2,2.41,0.63,3.04,4.29
27,"Robert Covington, SF",MIN/PHI,35,34.4,0.23,2.66,2.89,4.48
28,"Kawhi Leonard, SF",TOR,34,34.6,3.05,-0.18,2.87,4.49
29,"Russell Westbrook, PG",OKC,34,35.3,1.82,1.04,2.86,4.34
30,"Chris Paul, PG",HOU,26,33.2,1.67,1.13,2.80,3.09
31,"Karl-Anthony Towns, C",MIN,43,33.6,1.68,1.09,2.77,5.16
32,"Victor Oladipo, SG",IND,31,32.5,2.12,0.61,2.73,3.46
33,"Nemanja Bjelica, PF",SAC,43,24.7,1.21,1.48,2.69,3.90
34,"Kemba Walker, PG",CHA,42,34.2,4.09,-1.40,2.69,5.10
35,"Brook Lopez, C",MIL,41,27.8,0.56,2.07,2.63,4.17
36,"Rudy Gay, SF",SA,35,26.7,0.85,1.71,2.56,3.31
37,"Blake Griffin, PF",DET,39,36.1,2.24,0.30,2.54,4.85
38,"Davis Bertans, SF",SA,40,19.5,1.89,0.63,2.52,2.60
39,"Khris Middleton, SF",MIL,39,31.3,2.15,0.37,2.52,4.35
40,"Kevon Looney, SF",GS,42,20.8,1.04,1.46,2.50,3.11
41,"Dwight Powell, PF",DAL,38,16.5,0.77,1.72,2.49,2.19
42,"Noah Vonleh, PF",NY,42,26.5,0.23,2.24,2.47,3.96
43,"Kelly Olynyk, PF",MIA,40,20.7,1.33,1.07,2.40,2.81
44,"Ed Davis, PF",BKN,43,18.3,-0.57,2.83,2.26,2.54
45,"Ben Simmons, PG",PHI,42,33.4,0.59,1.65,2.24,4.64
46,"Al Horford, C",BOS,33,28.1,0.02,2.19,2.21,2.89
47,"Maximilian Kleber, PF",DAL,37,18.5,-0.33,2.38,2.05,2.16
48,"Luka Doncic, SF",DAL,41,32.0,2.58,-0.54,2.04,4.28
49,"Steven Adams, C",OKC,41,34.0,0.10,1.90,2.00,4.40
50,"JJ Redick, SG",PHI,41,31.1,2.62,-0.65,1.97,3.93
51,"Domantas Sabonis, PF",IND,40,25.5,1.08,0.88,1.96,3.09
52,"De'Aaron Fox, PG",SAC,43,31.5,2.15,-0.21,1.94,4.42
53,"Daniel Theis, PF",BOS,32,15.8,0.60,1.29,1.89,1.40
54,"Draymond Green, PF",GS,28,31.3,-1.96,3.84,1.88,2.77
55,"Josh Richardson, SG",MIA,40,34.8,1.80,0.07,1.87,4.13
56,"Marvin Williams, PF",CHA,41,27.5,1.30,0.56,1.86,3.41
57,"Boban Marjanovic, C",LAC,30,10.7,-0.66,2.50,1.84,1.04
58,"Thomas Bryant, C",WSH,33,18.0,0.21,1.57,1.78,1.74
59,"Thaddeus Young, PF",IND,42,30.3,0.29,1.46,1.75,3.67
60,"Larry Nance Jr., PF",CLE,39,25.6,0.21,1.47,1.68,3.06
61,"Monte Morris, PG",DEN,41,24.4,1.66,0.02,1.68,2.81
62,"Nerlens Noel, PF",OKC,39,13.7,-1.40,3.04,1.64,1.63
63,"DeAndre Jordan, C",DAL,42,31.2,-2.45,4.07,1.62,3.91
64,"DeMar DeRozan, SG",SA,44,35.3,1.61,-0.03,1.58,4.29
65,"Mason Plumlee, PF",DEN,41,19.9,-0.39,1.95,1.56,2.22
66,"Montrezl Harrell, PF",LAC,42,25.3,1.03,0.49,1.52,3.08
67,"Juan Hernangomez, PF",DEN,40,26.1,0.90,0.59,1.49,2.78
68,"Jonas Valanciunas, C",TOR,30,18.8,-0.58,2.06,1.48,1.74
69,"D.J. Augustin, PG",ORL,41,27.8,2.56,-1.13,1.43,3.19
70,"Tobias Harris, SF",LAC,42,34.2,1.67,-0.24,1.43,3.99
71,"Richaun Holmes, PF",PHX,42,16.0,0.15,1.27,1.42,1.87
72,"Jerami Grant, SF",OKC,42,31.5,-0.30,1.69,1.39,3.66
73,"Zaza Pachulia, C",DET,32,13.1,-1.40,2.74,1.34,1.19
74,"Taj Gibson, PF",MIN,42,25.6,0.17,1.17,1.34,2.90
75,"Al-Farouq Aminu, PF",POR,43,30.1,-0.08,1.40,1.32,3.40
76,"Derrick Favors, PF",UTAH,43,23.5,-0.39,1.71,1.32,2.71
77,"Jonas Jerebko, PF",GS,42,20.0,1.05,0.20,1.25,2.31
78,"Marcus Morris, PF",BOS,38,27.4,2.07,-0.83,1.24,2.66
79,"Darren Collison, PG",IND,42,27.5,0.72,0.50,1.22,3.01
80,"Josh Hart, SG",LAL,43,27.2,-0.58,1.78,1.20,3.33
81,"Bradley Beal, SG",WSH,43,36.7,2.32,-1.17,1.15,4.15
82,"Fred VanVleet, PG",TOR,39,26.8,1.24,-0.16,1.08,2.81
83,"Jarrett Allen, C",BKN,42,26.5,-0.43,1.51,1.08,2.79
84,"Bam Adebayo, C",MIA,41,21.8,-0.85,1.91,1.06,2.19
85,"Devin Booker, SG",PHX,31,35.2,3.34,-2.31,1.03,2.80
86,"Donovan Mitchell, SG",UTAH,40,32.9,0.86,0.17,1.03,3.35
87,"Ian Mahinmi, C",WSH,24,14.7,-1.81,2.82,1.01,0.84
