RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Vince Carter, SG",SAC,58,17.7,-1.15,0.90,-0.25,1.83
2,"Jamal Crawford, SG",MIN,80,20.7,-0.05,-5.36,-5.41,-2.39
3,"Manu Ginobili, SG",SA,65,20.0,0.65,-1.67,-1.02,1.73
4,"Dirk Nowitzki, C",DAL,77,24.7,1.36,0.46,1.82,5.98
5,"Jason Terry, SG",MIL,51,16.0,-1.40,0.30,-1.10,1.04
6,"Tyson Chandler, C",PHX,46,25.0,-2.15,2.10,-0.05,2.30
7,"Pau Gasol, C",SA,77,23.5,-1.08,2.10,1.02,4.74
8,"Richard Jefferson, SF",DEN,20,8.2,-2.39,0.15,-2.24,0.09
9,"Joe Johnson, SG",HOU/UTAH,55,21.9,-3.16,-0.89,-4.05,-0.38
10,"Tony Parker, PG",SA,55,19.5,-2.24,-1.56,-3.80,-0.46
11,"Zach Randolph, PF",SAC,59,25.6,-0.65,-1.92,-2.57,0.52
12,"Nene Hilario, C",HOU,52,14.6,-0.68,3.63,2.95,3.02
13,"LeBron James, SF",CLE,82,36.9,5.37,-0.69,4.68,15.31
14,"Carmelo Anthony, PF",OKC,78,32.1,0.43,-1.22,-0.79,3.77
15,"Nick Collison, PF",OKC,15,5.0,-1.94,1.59,-0.35,0.14
16,"Dwyane Wade, SG",CLE/MIA,67,22.9,-1.86,0.33,-1.53,1.58
17,"Kyle Korver, SG",CLE,73,21.6,1.82,0.89,2.71,6.01
18,"Zaza Pachulia, C",GS,69,14.1,-0.41,2.17,1.76,3.18
19,"Kendrick Perkins, C",CLE,1,15.0,-1.65,1.58,-0.07,0.03
20,"David West, PF",GS,73,13.7,-1.49,4.28,2.79,3.77
21,"Udonis Haslem, PF",MIA,14,5.1,-2.50,1.45,-1.05,0.09
22,"Tony Allen, SG",NO,22,12.4,-2.13,0.43,-1.70,0.26
23,"Devin Harris, PG",DAL/DEN,71,18.9,0.99,-0.65,0.34,2.96
24,"Dwight Howard, C",CHA,81,30.4,-1.19,1.84,0.65,6.01
25,"Andre Iguodala, SF",GS,64,25.4,-1.20,2.37,1.17,4.55
26,"Al Jefferson, C",IND,36,13.4,-1.75,0.94,-0.81,0.70
27,"Shaun Livingston, PG",GS,71,15.9,-1.74,-0.27,-2.01,0.82
28,"Emeka Okafor, C",NO,26,13.6,-1.84,1.11,-0.73,0.01
29,"Trevor Ariza, SF",HOU,67,33.9,0.73,0.73,1.46,6.73
30,"Luol Deng, SF",LAL,1,13.0,-2.02,0.68,-1.34,0.02
31,"Jameer Nelson, PG",NO/DET,50,20.3,-2.71,-2.67,-5.38,-1.44
32,"JR Smith, SG",CLE,80,28.1,-0.28,-2.20,-2.48,0.93
33,"Damien Wilkins, SG",IND,19,8.0,-1.79,0.06,-1.73,0.11
34,"Andrew Bogut, C",LAL,24,9.0,-2.18,2.31,0.13,0.47
35,"Raymond Felton, PG",OKC,82,16.6,-0.42,-1.08,-1.50,1.33
36,"Channing Frye, PF",CLE/LAL,53,13.1,-0.01,0.81,0.80,1.77
37,"Marcin Gortat, C",WSH,82,25.3,-2.18,2.10,-0.08,4.01
38,"Gerald Green, SG",HOU,41,22.7,0.00,-0.61,-0.61,1.49
39,"Ersan Ilyasova, PF",ATL/PHI,69,25.1,0.62,0.30,0.92,3.03
40,"Jarrett Jack, PG",NY,62,25.0,-0.51,-0.40,-0.91,2.18
