RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Marc Gasol, C",MEM,19,34.8,2.99,5.03,8.02,4.37
2,"James Harden, PG",HOU,16,37.4,5.79,0.20,5.99,3.01
3,"Paul George, SF",OKC,19,35.8,3.37,2.45,5.82,4.05
4,"Anthony Davis, PF",NO,17,37.5,2.79,3.00,5.79,3.59
5,"Nikola Jokic, C",DEN,20,29.7,3.40,2.34,5.74,3.30
6,"Kyle Lowry, PG",TOR,21,33.7,5.03,0.63,5.66,4.16
7,"LeBron James, SF",LAL,19,35.1,4.44,1.06,5.50,3.87
8,"Stephen Curry, PG",GS,12,33.3,5.72,-0.75,4.97,2.22
9,"Kyrie Irving, PG",BOS,20,32.3,3.85,0.83,4.68,3.12
10,"Giannis Antetokounmpo, PF",MIL,19,33.8,2.23,2.31,4.54,3.10
11,"Eric Bledsoe, PG",MIL,20,29.5,3.47,0.99,4.46,2.82
12,"Khris Middleton, SF",MIL,20,31.4,3.58,0.77,4.35,2.96
13,"Pascal Siakam, PF",TOR,21,29.1,2.01,2.32,4.33,3.02
14,"Kemba Walker, PG",CHA,20,35.1,5.99,-1.67,4.32,3.24
15,"Nikola Vucevic, C",ORL,21,30.9,1.69,2.57,4.26,2.91
16,"Nemanja Bjelica, PF",SAC,20,24.6,1.31,2.75,4.06,2.33
17,"Victor Oladipo, SG",IND,16,32.4,2.64,1.29,3.93,2.10
18,"Robert Covington, SF",MIN/PHI,20,34.6,-0.36,4.10,3.74,2.75
19,"Damian Lillard, PG",POR,20,34.8,5.66,-1.93,3.73,2.89
20,"Kevin Durant, SF",GS,22,35.4,3.68,-0.32,3.36,3.05
21,"Domantas Sabonis, PF",IND,19,24.7,1.46,1.78,3.24,1.74
22,"Dwight Powell, PF",DAL,15,15.9,0.68,2.54,3.22,0.95
23,"Rudy Gobert, C",UTAH,21,32.0,-0.04,3.20,3.16,2.64
24,"Chris Paul, PG",HOU,15,34.7,2.35,0.79,3.14,1.99
25,"Mike Conley, PG",MEM,19,33.5,3.76,-0.62,3.14,2.44
26,"Joel Embiid, C",PHI,22,34.8,1.83,1.27,3.10,2.94
27,"Paul Millsap, PF",DEN,20,26.5,0.22,2.85,3.07,2.06
28,"Jimmy Butler, SG",MIN/PHI,17,35.6,3.17,-0.19,2.98,2.42
29,"Montrezl Harrell, PF",LAC,19,25.6,1.53,1.40,2.93,1.87
30,"Danilo Gallinari, SF",LAC,18,31.2,3.36,-0.45,2.91,2.04
31,"Mason Plumlee, PF",DEN,20,17.0,-0.21,3.09,2.88,1.24
32,"Noah Vonleh, PF",NY,21,25.2,0.01,2.78,2.79,2.02
33,"Jusuf Nurkic, C",POR,20,25.5,0.50,2.22,2.72,1.85
34,"Danny Green, SG",TOR,21,28.2,0.79,1.80,2.59,2.28
35,"Blake Griffin, PF",DET,17,36.3,1.66,0.86,2.52,2.22
36,"Boban Marjanovic, C",LAC,15,10.7,-0.34,2.81,2.47,0.56
37,"Rudy Gay, SF",SA,16,27.2,0.28,2.17,2.45,1.38
38,"Jarrett Allen, C",BKN,19,27.4,0.49,1.96,2.45,1.69
39,"Nikola Mirotic, PF",NO,19,31.8,1.97,0.34,2.31,2.13
40,"Brook Lopez, C",MIL,20,27.2,0.70,1.45,2.15,1.81
41,"Josh Richardson, SG",MIA,19,34.9,2.24,-0.12,2.12,2.14
42,"Joe Ingles, SF",UTAH,21,32.9,1.16,0.86,2.02,2.20
43,"Cody Zeller, C",CHA,20,24.4,-0.28,2.22,1.94,1.56
44,"Steven Adams, C",OKC,18,34.2,0.05,1.80,1.85,2.04
45,"Jrue Holiday, PG",NO,21,36.3,2.13,-0.34,1.79,2.40
46,"Jonas Valanciunas, C",TOR,21,19.7,-0.45,2.24,1.79,1.39
47,"Draymond Green, PF",GS,13,30.5,-0.96,2.75,1.79,1.25
48,"Tobias Harris, SF",LAC,19,35.1,1.53,0.13,1.66,1.94
49,"John Wall, PG",WSH,20,35.3,2.31,-0.67,1.64,2.02
50,"D.J. Augustin, PG",ORL,21,27.3,2.19,-0.57,1.62,1.67
51,"Serge Ibaka, PF",TOR,20,26.6,-0.10,1.70,1.60,1.65
52,"DeMar DeRozan, SG",SA,20,36.6,2.32,-0.73,1.59,1.98
53,"Taj Gibson, PF",MIN,21,26.5,0.38,1.21,1.59,1.59
54,"Kawhi Leonard, SF",TOR,15,33.3,1.32,0.25,1.57,1.58
55,"Ed Davis, PF",BKN,21,17.0,-0.42,1.91,1.49,0.97
56,"Derrick Favors, PF",UTAH,20,23.2,-0.27,1.66,1.39,1.29
57,"Cory Joseph, PG",IND,20,26.2,0.02,1.37,1.39,1.41
58,"Al Horford, C",BOS,20,30.0,-0.66,1.98,1.32,1.62
59,"Meyers Leonard, PF",POR,17,12.3,0.31,0.98,1.29,0.54
60,"Gary Harris, SG",DEN,19,33.3,1.58,-0.32,1.26,1.75
61,"Monte Morris, PG",DEN,20,23.8,1.34,-0.14,1.20,1.27
62,"Nerlens Noel, PF",OKC,18,13.5,-1.12,2.31,1.19,0.68
63,"DeAndre Jordan, C",DAL,18,32.3,-1.92,3.07,1.15,1.59
64,"Marcus Smart, PG",BOS,21,24.0,-0.11,1.26,1.15,1.29
65,"Pau Gasol, C",SA,9,17.4,-0.90,2.03,1.13,0.37
66,"Devin Booker, SG",PHX,16,36.4,3.07,-1.94,1.13,1.54
67,"Kelly Olynyk, PF",MIA,18,17.6,0.14,0.98,1.12,0.86
68,"Mike Scott, PF",LAC,19,15.3,-0.39,1.49,1.10,0.86
69,"Jerami Grant, SF",OKC,19,30.4,-0.45,1.50,1.05,1.60
70,"De'Aaron Fox, PG",SAC,20,32.6,1.80,-0.75,1.05,1.83
71,"Marcin Gortat, C",LAC,16,17.2,-1.91,2.94,1.03,0.71
72,"D'Angelo Russell, PG",BKN,21,28.0,2.53,-1.54,0.99,1.46
73,"Hassan Whiteside, C",MIA,18,27.1,-2.98,3.91,0.93,1.23
74,"Iman Shumpert, SG",SAC,17,25.5,1.40,-0.49,0.91,1.18
75,"Joe Harris, SF",BKN,21,29.2,1.56,-0.65,0.91,1.42
76,"Pat Connaughton, SG",MIL,17,17.9,0.54,0.37,0.91,0.74
77,"Juan Hernangomez, PF",DEN,19,25.1,0.48,0.43,0.91,1.15
78,"Ben Simmons, PG",PHI,21,33.6,0.00,0.90,0.90,1.79
79,"Davis Bertans, SF",SA,18,16.1,0.42,0.44,0.86,0.66
80,"Gordon Hayward, SF",BOS,19,26.7,-0.70,1.52,0.82,1.26
81,"Bradley Beal, SG",WSH,20,35.5,1.57,-0.77,0.80,1.65
82,"Jae Crowder, PF",UTAH,21,28.8,1.59,-0.79,0.80,1.48
83,"Jamal Murray, PG",DEN,20,33.8,0.99,-0.20,0.79,1.64
84,"Aaron Gordon, PF",ORL,20,32.1,0.60,0.17,0.77,1.52
85,"Otto Porter Jr., SF",WSH,19,29.6,0.71,0.05,0.76,1.31
86,"Mikal Bridges, SF",PHX,19,21.4,-0.13,0.89,0.76,1.01
87,"Maximilian Kleber, PF",DAL,18,18.6,-0.77,1.52,0.75,0.83
88,"Willie Cauley-Stein, C",SAC,20,28.4,-0.56,1.31,0.75,1.48
89,"Jonas Jerebko, PF",GS,22,18.8,0.29,0.45,0.74,0.96
90,"Russell Westbrook, PG",OKC,11,33.1,1.10,-0.39,0.71,0.96
91,"Omri Casspi, SF",MEM,13,11.2,-0.73,1.44,0.71,0.36
92,"Evan Fournier, SG",ORL,21,29.9,0.88,-0.18,0.70,1.46
93,"Josh Hart, SG",LAL,19,24.9,0.39,0.31,0.70,1.24
94,"Jeremy Lamb, SG",CHA,20,27.4,0.91,-0.24,0.67,1.27
95,"Mitchell Robinson, C",NY,19,17.4,-1.06,1.70,0.64,0.80
96,"Julius Randle, PF",NO,21,26.3,1.51,-0.90,0.61,1.30
97,"Aron Baynes, C",BOS,18,14.7,-0.99,1.59,0.60,0.61
98,"Jayson Tatum, SF",BOS,21,31.9,-0.05,0.65,0.60,1.53
99,"Marvin Williams, PF",CHA,20,25.3,-0.61,1.19,0.58,1.13
100,"Derrick Rose, PG",MIN,19,30.1,2.96,-2.38,0.58,1.28
101,"Ryan Arcidiacono, PG",CHI,20,28.3,0.48,0.10,0.58,1.27
102,"Damian Jones, C",GS,22,17.2,-0.63,1.21,0.58,0.84
103,"JaVale McGee, C",LAL,19,25.1,-1.31,1.82,0.51,1.19
104,"Devin Harris, PG",DAL,8,15.0,-0.06,0.56,0.50,0.26
105,"Jaren Jackson Jr., PF",MEM,19,25.3,-1.05,1.55,0.50,1.09
106,"JJ Redick, SG",PHI,22,31.2,2.52,-2.04,0.48,1.54
107,"Justin Holiday, SF",CHI,21,35.4,0.73,-0.29,0.44,1.62
108,"Donovan Mitchell, SG",UTAH,17,32.5,1.13,-0.71,0.42,1.27
109,"Kevon Looney, SF",GS,22,18.5,-0.35,0.74,0.39,0.87
110,"Spencer Dinwiddie, PG",BKN,21,27.9,3.19,-2.84,0.35,1.19
111,"Al-Farouq Aminu, PF",POR,20,29.5,-1.57,1.91,0.34,1.22
112,"CJ McCollum, SG",POR,20,33.7,2.49,-2.15,0.34,1.41
113,"Karl-Anthony Towns, C",MIN,21,33.7,-0.17,0.50,0.33,1.48
114,"Dennis Schroder, PG",OKC,19,30.1,0.62,-0.33,0.29,1.30
115,"Patrick Beverley, PG",LAC,19,25.7,-0.07,0.35,0.28,1.06
116,"Jeremy Lin, PG",ATL,20,18.9,1.66,-1.40,0.26,0.91
117,"Wesley Matthews, SG",DAL,14,32.5,1.26,-1.01,0.25,0.99
118,"Ian Mahinmi, C",WSH,11,14.6,-2.14,2.37,0.23,0.33
119,"Wayne Ellington, SG",MIA,12,25.0,0.39,-0.18,0.21,0.56
120,"PJ Tucker, SF",HOU,19,36.2,-0.92,1.12,0.20,1.26
121,"Ricky Rubio, PG",UTAH,21,29.3,0.09,0.10,0.19,1.28
122,"Tim Hardaway Jr., G",NY,20,33.4,3.10,-2.92,0.18,1.44
123,"Luka Doncic, SF",DAL,18,33.7,1.02,-0.84,0.18,1.31
124,"Garrett Temple, SG",MEM,19,32.5,-0.90,1.03,0.13,1.20
125,"Shelvin Mack, PG",MEM,19,25.2,0.88,-0.75,0.13,0.92
126,"Ersan Ilyasova, PF",MIL,18,21.0,-0.73,0.85,0.12,0.82
127,"Bojan Bogdanovic, SF",IND,20,30.9,1.51,-1.39,0.12,1.11
128,"Bryn Forbes, G",SA,20,28.7,1.37,-1.25,0.12,1.05
129,"Kent Bazemore, SG",ATL,20,26.3,-0.88,0.99,0.11,1.20
130,"Andre Drummond, C",DET,17,33.7,-0.26,0.35,0.09,1.15
131,"David Nwaba, SG",CLE,14,17.4,-0.45,0.54,0.09,0.47
132,"Malcolm Brogdon, PG",MIL,20,30.3,1.14,-1.08,0.06,1.21
133,"Salah Mejri, C",DAL,5,7.4,-1.74,1.80,0.06,0.08
134,"Zach Collins, PF",POR,20,20.0,-1.05,1.11,0.06,0.72
135,"Patty Mills, PG",SA,20,26.0,0.89,-0.88,0.01,0.95
136,"Willy Hernangomez, C",CHA,15,14.2,-0.25,0.25,0.00,0.44
137,"Mike Muscala, PF",PHI,16,22.9,-0.79,0.76,-0.03,0.69
138,"James Ennis III, SF",HOU,16,25.9,-0.38,0.34,-0.04,0.71
139,"Zaza Pachulia, C",DET,17,12.1,-1.94,1.89,-0.05,0.40
140,"T.J. Warren, SF",PHX,18,29.2,1.05,-1.10,-0.05,1.06
141,"Buddy Hield, SG",SAC,20,31.1,0.67,-0.74,-0.07,1.28
142,"Caris LeVert, SG",BKN,14,29.7,0.96,-1.03,-0.07,0.73
143,"Bam Adebayo, C",MIA,19,19.0,-1.48,1.39,-0.09,0.69
144,"Rodney Hood, SG",CLE,19,28.2,1.04,-1.14,-0.10,0.95
145,"Emmanuel Mudiay, PG",NY,14,21.4,0.55,-0.65,-0.10,0.59
146,"Kosta Koufos, C",SAC,7,14.0,-1.78,1.65,-0.13,0.19
147,"Doug McDermott, SF",IND,20,17.1,-0.21,0.08,-0.13,0.59
148,"J.J. Barea, PG",DAL,17,19.9,0.86,-1.07,-0.21,0.64
149,"Dante Cunningham, SF",SA,20,22.7,-1.43,1.21,-0.22,0.78
150,"Ivica Zubac, C",LAL,5,8.0,-1.61,1.39,-0.22,0.08
151,"Channing Frye, F",CLE,3,10.3,-1.84,1.61,-0.23,0.06
152,"Michael Kidd-Gilchrist, SF",CHA,14,20.1,-0.64,0.41,-0.23,0.49
153,"Thomas Bryant, C",WSH,10,9.7,-1.34,1.10,-0.24,0.16
154,"Frank Kaminsky, PF",CHA,9,9.2,-1.27,1.02,-0.25,0.15
155,"Langston Galloway, SG",DET,16,24.8,1.28,-1.54,-0.26,0.71
156,"George Hill, PG",CLE,10,26.5,0.91,-1.19,-0.28,0.48
157,"Rajon Rondo, PG",LAL,11,25.3,-0.52,0.23,-0.29,0.56
158,"E'Twaun Moore, G",NO,21,31.6,1.73,-2.07,-0.34,1.19
159,"Andre Iguodala, SG",GS,20,22.8,-1.45,1.09,-0.36,0.71
160,"Cheick Diallo, PF",NO,15,9.7,-1.64,1.25,-0.39,0.26
161,"John Henson, F",MIL,14,13.4,-1.68,1.27,-0.41,0.35
162,"Tony Snell, SG",MIL,20,15.8,0.38,-0.83,-0.45,0.53
163,"Gary Clark, PF",HOU,18,17.5,-1.10,0.65,-0.45,0.46
164,"Thomas Welsh, C",DEN,4,3.0,-1.57,1.11,-0.46,0.02
165,"Deandre Ayton, C",PHX,19,32.3,-0.68,0.22,-0.46,1.02
166,"Jason Smith, PF",WSH,10,11.1,-2.06,1.58,-0.48,0.19
167,"John Collins, PF",ATL,5,24.0,-0.73,0.24,-0.49,0.22
168,"C.J. Williams, SG",MIN,6,8.8,-0.49,-0.02,-0.51,0.09
169,"Jeff Teague, PG",MIN,15,31.6,0.44,-0.97,-0.53,0.73
170,"Daniel Theis, PF",BOS,11,11.2,-1.71,1.18,-0.53,0.20
171,"Tomas Satoransky, SG",WSH,20,14.1,-0.52,-0.02,-0.54,0.41
172,"Larry Nance Jr., PF",CLE,17,22.4,-1.09,0.51,-0.58,0.57
173,"Jonah Bolden, PF",PHI,6,6.7,-1.91,1.33,-0.58,0.07
174,"Henry Ellenson, PF",DET,1,8.0,-1.53,0.95,-0.58,0.01
175,"Nicolas Batum, SF",CHA,20,30.8,-0.67,0.08,-0.59,0.97
176,"Goran Dragic, PG",MIA,12,30.8,-0.34,-0.26,-0.60,0.60
177,"Reggie Jackson, PG",DET,17,29.1,0.99,-1.59,-0.60,0.77
178,"Myles Turner, C",IND,19,26.7,-3.18,2.58,-0.60,0.70
179,"Jakob Poeltl, C",SA,16,11.8,-0.97,0.36,-0.61,0.25
180,"Trey Burke, PG",NY,18,22.3,1.14,-1.80,-0.66,0.63
181,"Christian Wood, PF",MIL,5,5.8,-1.57,0.84,-0.73,0.03
182,"Dwight Howard, C",WSH,9,25.6,-1.91,1.17,-0.74,0.33
183,"Luc Mbah a Moute, PF",LAC,4,15.3,-1.87,1.13,-0.74,0.10
184,"Anthony Tolliver, PF",MIN,15,17.8,-1.35,0.60,-0.75,0.43
185,"Robert Williams, C",BOS,7,3.6,-1.61,0.86,-0.75,0.04
186,"Kevin Love, PF",CLE,4,34.0,-1.65,0.88,-0.77,0.22
187,"Thaddeus Young, PF",IND,20,27.9,-1.82,1.02,-0.80,0.72
188,"Lance Thomas, SF",NY,11,15.2,-2.33,1.51,-0.82,0.24
189,"Jordan Bell, PF",GS,21,11.8,-1.61,0.79,-0.82,0.34
190,"Tyreke Evans, SG",IND,19,20.9,-0.55,-0.28,-0.83,0.52
191,"Richaun Holmes, PF",PHX,18,11.8,-2.23,1.40,-0.83,0.31
192,"Luke Kornet, PF",NY,4,3.3,-1.97,1.14,-0.83,0.02
193,"Alex Len, C",ATL,19,21.4,-1.86,1.02,-0.84,0.66
194,"Tyler Lydon, PF",DEN,6,3.7,-1.56,0.72,-0.84,0.03
195,"Jeff Green, SF",WSH,20,24.6,-0.62,-0.23,-0.85,0.64
196,"Chris Boucher, PF",TOR,3,4.0,-1.71,0.86,-0.85,0.02
197,"Deonte Burton, G",OKC,10,8.2,-1.09,0.23,-0.86,0.12
198,"Bobby Portis, PF",CHI,4,28.3,-1.74,0.88,-0.86,0.17
199,"Justin Anderson, SG",ATL,3,11.3,-1.22,0.35,-0.87,0.05
200,"Michael Beasley, SF",LAL,4,5.0,-1.82,0.93,-0.89,0.02
201,"Trey Lyles, PF",DEN,20,20.4,-1.00,0.10,-0.90,0.56
202,"Lance Stephenson, SG",LAL,19,16.3,-0.10,-0.81,-0.91,0.46
203,"Fred VanVleet, PG",TOR,17,24.4,0.26,-1.18,-0.92,0.60
204,"Alfonzo McKinnie, SF",GS,16,15.7,-0.48,-0.45,-0.93,0.35
