RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
77,"D.J. Augustin, PG",ORL,40,20.0,0.43,-0.97,-0.54,1.29
78,"Nicolas Batum, SG",CHA,32,31.2,-0.95,-0.12,-1.07,1.28
79,"Jerryd Bayless, PG",PHI,35,24.9,-1.49,-1.81,-3.30,-0.10
80,"Michael Beasley, SF",NY,41,19.7,-0.50,-1.30,-1.80,0.63
81,"Mario Chalmers, PG",MEM,43,22.5,-0.79,0.56,-0.23,1.73
82,"Goran Dragic, PG",MIA,42,32.1,0.26,-1.26,-1.00,1.82
83,"Danilo Gallinari, SF",LAC,11,31.7,-2.17,0.45,-1.72,0.31
84,"Eric Gordon, SG",HOU,44,32.7,2.82,-0.98,1.84,4.53
85,"George Hill, PG",SAC,38,27.0,0.06,-1.65,-1.59,0.97
86,"Serge Ibaka, PF",TOR,41,28.0,-0.42,0.77,0.35,2.57
87,"DeAndre Jordan, C",LAC,42,32.1,-0.60,1.32,0.72,3.23
88,"Kosta Koufos, C",SAC,44,18.5,-2.62,0.28,-2.34,0.40
89,"Courtney Lee, SG",NY,48,33.1,1.24,-1.05,0.19,3.23
90,"Robin Lopez, C",CHI,48,28.3,-2.66,0.61,-2.05,0.92
91,"Brook Lopez, C",LAL,39,21.1,-0.92,0.56,-0.36,1.50
92,"Kevin Love, PF",CLE,45,28.4,1.97,0.28,2.25,4.28
93,"Luc Mbah a Moute, PF",HOU,29,25.6,-1.07,3.49,2.42,2.54
94,"JaVale McGee, C",GS,34,7.9,-0.48,-0.26,-0.74,0.43
95,"Derrick Rose, PG",CLE,10,23.5,-1.67,-1.87,-3.54,-0.06
96,"Marreese Speights, PF",ORL,37,12.8,-0.57,1.23,0.66,1.13
97,"Russell Westbrook, PG",OKC,47,35.9,4.18,0.85,5.03,8.58
98,"Bobby Brown, PG",HOU,20,5.8,-1.65,-1.29,-2.94,0.01
99,"Omri Casspi, SF",GS,37,16.1,-0.08,0.98,0.90,1.58
100,"Bojan Bogdanovic, SF",IND,47,30.6,-0.82,-1.77,-2.59,0.48
101,"Patrick Beverley, PG",LAC,11,30.4,-0.81,0.21,-0.60,0.53
102,"DeMarre Carroll, SF",BKN,43,29.2,-0.16,1.21,1.05,3.29
103,"Darren Collison, PG",IND,46,30.1,3.24,-0.45,2.79,5.23
104,"Dante Cunningham, SF",NO,46,21.9,-1.68,-0.21,-1.89,0.78
105,"Stephen Curry, PG",GS,33,32.8,6.70,-0.44,6.26,6.83
106,"DeMar DeRozan, SG",TOR,46,34.5,3.70,-1.48,2.22,5.45
107,"Wayne Ellington, SG",MIA,47,25.8,2.50,-1.66,0.84,2.97
108,"Tyreke Evans, SG",MEM,45,31.2,3.27,-0.27,3.00,5.30
109,"Taj Gibson, PF",MIN,50,33.7,-0.17,1.05,0.88,4.17
110,"Danny Green, SG",SA,39,26.5,-1.47,2.06,0.59,2.25
111,"Blake Griffin, PF",LAC,31,34.4,1.98,-1.10,0.88,2.68
112,"James Harden, PG",HOU,39,35.9,6.52,-0.69,5.83,7.96
113,"Jrue Holiday, PG",NO,47,37.0,1.74,0.71,2.45,6.09
114,"Jonas Jerebko, PF",UTAH,40,16.9,0.59,0.90,1.49,1.93
115,"James Johnson, PF",MIA,39,26.7,0.08,1.57,1.65,3.15
116,"Jodie Meeks, SG",WSH,45,15.6,-1.33,-1.42,-2.75,0.17
117,"Patty Mills, PG",SA,50,24.3,1.32,-1.96,-0.64,1.83
118,"Ricky Rubio, PG",UTAH,47,29.2,-1.24,-0.03,-1.27,1.56
119,"Jeff Teague, PG",MIN,39,33.6,0.68,-1.25,-0.57,2.10
120,"Garrett Temple, SG",SAC,44,25.0,-2.02,-0.63,-2.65,0.32
121,"Wesley Matthews, SG",DAL,48,34.5,0.45,-2.04,-1.59,1.57
122,"Milos Teodosic, PG",LAC,20,25.5,-0.54,0.69,0.15,1.06
123,"John Wall, PG",WSH,36,34.3,1.48,-0.22,1.26,3.53
124,"Eric Bledsoe, PG",MIL/PHX,39,31.4,0.61,0.22,0.83,3.12
125,"Evan Turner, SG",POR,47,26.8,-2.32,-0.78,-3.10,0.02
126,"Avery Bradley, SG",DET,39,31.8,-1.41,-1.31,-2.72,0.31
127,"Lance Stephenson, SG",IND,48,23.1,-0.57,-2.16,-2.73,0.27
128,"Wesley Johnson, SF",LAC,42,24.4,-1.97,1.02,-0.95,1.40
