RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
76,"Darrell Arthur, PF",DEN,18,7.4,-1.93,0.41,-1.52,0.14
77,"Omer Asik, C",NO,14,8.6,-2.07,1.22,-0.85,0.17
78,"D.J. Augustin, PG",ORL,63,22.9,1.21,-1.10,0.11,2.92
79,"Nicolas Batum, SG",CHA,56,31.9,0.77,-0.44,0.33,3.84
80,"Jerryd Bayless, PG",PHI,39,23.7,-2.28,-1.86,-4.14,-0.62
81,"Michael Beasley, SF",NY,63,21.7,-1.07,-1.65,-2.72,0.34
82,"Mario Chalmers, PG",MEM,57,22.3,-1.09,0.77,-0.32,2.21
83,"Goran Dragic, PG",MIA,65,31.7,1.14,-1.25,-0.11,3.88
84,"Danilo Gallinari, SF",LAC,19,32.4,-1.13,1.06,-0.07,1.20
85,"Eric Gordon, SG",HOU,61,31.3,2.62,-1.39,1.23,5.11
86,"George Hill, PG",CLE/SAC,58,27.3,0.09,-1.59,-1.50,1.54
87,"Serge Ibaka, PF",TOR,65,27.4,-0.60,0.70,0.10,3.56
88,"DeAndre Jordan, C",LAC,64,32.0,-0.48,2.17,1.69,6.07
89,"Kosta Koufos, C",SAC,66,19.4,-2.26,0.76,-1.50,1.25
90,"Courtney Lee, SG",NY,67,31.2,0.51,-0.87,-0.36,3.61
91,"Robin Lopez, C",CHI,61,26.7,-2.91,0.80,-2.11,1.05
92,"Brook Lopez, C",LAL,61,22.7,0.10,0.52,0.62,3.39
93,"Kevin Love, C",CLE,48,28.0,1.46,0.92,2.38,4.72
94,"Luc Mbah a Moute, PF",HOU,53,26.4,-1.07,3.37,2.30,4.52
95,"JaVale McGee, C",GS,54,9.1,-0.45,0.52,0.07,1.04
96,"Derrick Rose, PG",CLE/MIN,20,18.0,-1.82,-1.77,-3.59,-0.09
97,"Marreese Speights, PF",ORL,49,13.1,-0.07,1.56,1.49,1.88
98,"Russell Westbrook, PG",OKC,70,36.2,4.03,0.15,4.18,11.65
99,"Bobby Brown, PG",HOU,20,5.8,-1.65,-1.29,-2.94,0.01
100,"Omri Casspi, SF",GS,53,14.0,-0.98,1.23,0.25,1.64
101,"Bojan Bogdanovic, SF",IND,69,30.8,-0.32,-1.11,-1.43,2.23
102,"Patrick Beverley, PG",LAC,11,30.4,-1.12,-0.01,-1.13,0.42
103,"DeMarre Carroll, SF",BKN,65,29.9,0.19,1.24,1.43,5.45
104,"Darren Collison, PG",IND,57,29.7,2.89,-0.63,2.26,5.64
105,"Dante Cunningham, SF",NO/BKN,64,21.6,-1.93,0.58,-1.35,1.59
106,"Stephen Curry, PG",GS,50,32.1,6.96,-0.97,5.99,10.08
107,"DeMar DeRozan, SG",TOR,70,34.1,3.77,-1.31,2.46,8.28
108,"Wayne Ellington, SG",MIA,65,26.5,1.76,-1.16,0.60,3.92
109,"Tyreke Evans, SG",MEM,51,31.1,3.10,0.63,3.73,6.33
110,"Taj Gibson, PF",MIN,71,33.4,0.09,0.78,0.87,5.86
111,"Danny Green, SG",SA,58,25.8,-0.93,1.58,0.65,3.40
112,"Blake Griffin, PF",DET/LAC,53,34.1,1.64,-0.68,0.96,4.56
113,"James Harden, PG",HOU,62,35.6,7.28,-0.35,6.93,13.55
114,"Jrue Holiday, PG",NO,70,36.5,1.73,1.39,3.12,9.98
115,"Brandon Jennings, PG",MIL,3,16.7,-1.21,-0.39,-1.60,0.03
116,"Jonas Jerebko, PF",UTAH,62,15.7,0.54,0.72,1.26,2.64
117,"James Johnson, PF",MIA,62,26.0,-0.01,0.61,0.60,3.74
118,"Jodie Meeks, SG",WSH,67,15.1,-0.68,-1.83,-2.51,0.38
119,"Patty Mills, PG",SA,70,24.5,1.57,-2.07,-0.50,2.75
120,"Ricky Rubio, PG",UTAH,66,29.6,-0.32,1.03,0.71,4.55
121,"Jeff Teague, PG",MIN,60,33.1,1.24,-0.96,0.28,4.20
122,"Garrett Temple, SF",SAC,64,24.9,-1.40,-0.49,-1.89,1.19
123,"Wesley Matthews, SG",DAL,63,33.8,-0.07,-1.89,-1.96,1.56
124,"Milos Teodosic, PG",LAC,40,25.1,-0.25,-0.16,-0.41,1.70
125,"John Wall, PG",WSH,37,34.3,0.89,-0.18,0.71,3.18
126,"Eric Bledsoe, PG",MIL/PHX,61,31.3,1.44,0.06,1.50,5.57
127,"Evan Turner, SF",POR,67,25.5,-2.64,-0.12,-2.76,0.38
128,"Avery Bradley, SG",DET/LAC,46,31.2,-2.08,-0.81,-2.89,0.22
129,"Lance Stephenson, SG",IND,70,22.7,-0.47,-3.37,-3.84,-0.70
130,"Wesley Johnson, SF",LAC,62,20.9,-2.88,1.38,-1.50,1.37
131,"Al-Farouq Aminu, PF",POR,57,29.8,-0.64,1.96,1.32,4.53
132,"Gordon Hayward, SF",BOS,1,5.0,-1.62,0.24,-1.38,0.01
133,"Luke Babbitt, SF",ATL/MIA,46,14.7,0.09,-1.19,-1.10,0.89
134,"Paul George, SF",OKC,69,36.4,2.59,1.03,3.62,10.42
135,"Quincy Pondexter, SG",CHI,23,8.5,-3.23,-0.47,-3.70,-0.07
136,"Derrick Favors, PF",UTAH,66,27.8,-1.08,1.12,0.04,3.56
137,"DeMarcus Cousins, C",NO,48,36.2,2.40,2.42,4.82,8.79
138,"Ed Davis, PF",POR,70,19.1,-0.98,2.07,1.09,3.36
139,"Greg Monroe, C",BOS/MIL/PHX,39,20.1,-0.95,-0.22,-1.17,0.92
140,"Ekpe Udoh, C",UTAH,56,13.6,-0.88,3.05,2.17,2.53
141,"Hassan Whiteside, C",MIA,47,25.9,-2.85,3.92,1.07,3.28
142,"Patrick Patterson, PF",OKC,72,15.8,-1.48,0.55,-0.93,1.47
143,"Cole Aldrich, C",MIN,17,1.9,-2.04,1.06,-0.98,0.05
144,"Nemanja Bjelica, PF",MIN,56,19.3,0.78,1.10,1.88,3.26
145,"Trevor Booker, PF",IND/BKN/PHI,57,17.4,-1.15,-0.27,-1.42,0.98
146,"Timofey Mozgov, C",BKN,28,12.1,-3.32,1.71,-1.61,0.34
147,"Jeremy Lin, PG",BKN,1,25.0,-1.48,-0.14,-1.62,0.03
148,"Ish Smith, PG",DET,69,25.2,-0.71,-0.31,-1.02,2.25
149,"Boban Marjanovic, C",DET/LAC,29,8.3,-1.07,1.46,0.39,0.51
150,"Mirza Teletovic, PF",MIL,10,15.9,-1.35,0.41,-0.94,0.22
151,"Davis Bertans, C",SA,66,15.2,0.77,0.72,1.49,2.90
152,"Bismack Biyombo, C",ORL,70,18.7,-4.37,-0.49,-4.86,-1.42
153,"Alec Burks, SG",UTAH,59,17.1,-0.87,-1.53,-2.40,0.46
154,"Jimmy Butler, SG",MIN,56,37.1,3.61,2.17,5.78,11.52
155,"Kenneth Faried, PF",DEN,32,14.4,-1.85,0.52,-1.33,0.52
156,"Tobias Harris, SF",DET/LAC,67,33.4,2.51,-0.25,2.26,7.35
157,"Kyrie Irving, PG",BOS,60,32.2,4.14,-1.29,2.85,7.30
158,"Reggie Jackson, PG",DET,33,27.1,0.50,-0.78,-0.28,1.62
159,"Cory Joseph, PG",IND,70,27.3,-0.01,-0.42,-0.43,3.20
160,"Enes Kanter, C",NY,65,25.5,-0.04,-0.70,-0.74,2.49
161,"Kawhi Leonard, SF",SA,9,23.3,-1.14,1.86,0.72,0.52
162,"Jon Leuer, PF",DET,8,17.0,-2.41,1.73,-0.68,0.22
163,"DeAndre Liggins, SG",NO/MIL,51,13.2,-2.59,-0.35,-2.94,0.05
164,"Shelvin Mack, PG",ORL,57,19.0,-0.02,-0.56,-0.58,1.69
165,"Nikola Mirotic, PF",NO/CHI,44,26.8,1.45,0.60,2.05,3.78
166,"E'Twaun Moore, SF",NO,70,31.7,-0.23,-2.57,-2.80,0.45
167,"Markieff Morris, PF",WSH,61,27.1,-0.76,0.09,-0.67,2.52
168,"Marcus Morris, PF",BOS,46,26.2,-0.49,-1.22,-1.71,1.03
169,"Chandler Parsons, SF",MEM,32,19.4,-0.04,-1.26,-1.30,0.71
170,"Iman Shumpert, SG",CLE,14,19.7,-2.26,0.80,-1.46,0.30
171,"Kyle Singler, SF",OKC,12,4.9,-2.20,1.05,-1.15,0.07
172,"Isaiah Thomas, PG",CLE/LAL,30,27.0,-0.10,-3.45,-3.55,-0.22
173,"Tristan Thompson, C",CLE,42,21.4,-2.04,-1.33,-3.37,-0.14
