RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
413,"Daniel Hamilton, G",ATL,19,10.7,-2.46,-0.19,-2.65,0.06
414,"JaVale McGee, C",LAL,59,20.9,-2.95,0.28,-2.67,0.38
415,"Isaiah Briscoe, PG",ORL,39,14.3,-2.86,0.19,-2.67,0.16
416,"Isaiah Thomas, PG",DEN,9,15.6,-2.08,-0.61,-2.69,0.03
417,"Stanley Johnson, SF",NO/DET,57,18.5,-4.44,1.75,-2.69,0.29
418,"Damion Lee, SG",GS,23,12.0,-2.06,-0.64,-2.70,0.08
419,"Greg Monroe, C",TOR,38,11.1,-3.92,1.21,-2.71,0.11
420,"Isaiah Canaan, G",MIL/MIN/PHX,30,21.0,-1.40,-1.31,-2.71,0.12
421,"Gary Trent Jr., SG",POR,9,4.2,-2.55,-0.18,-2.73,0.01
422,"Avery Bradley, SG",LAC/MEM,61,30.4,-1.65,-1.10,-2.75,0.44
423,"OG Anunoby, SF",TOR,57,20.5,-2.11,-0.67,-2.78,0.25
424,"E'Twaun Moore, G",NO,53,27.6,-0.26,-2.53,-2.79,0.32
425,"Jabari Parker, PF",CHI/WSH,52,26.6,-1.59,-1.20,-2.79,0.29
426,"Mario Hezonja, SF",NY,48,19.1,-3.23,0.43,-2.80,0.19
427,"Sviatoslav Mykhailiuk, SG",DET/LAL,41,10.6,-2.33,-0.49,-2.82,0.08
428,"Markieff Morris, PF",OKC/WSH,44,24.0,-1.52,-1.35,-2.87,0.14
429,"MarShon Brooks, G",MEM,29,13.3,-1.53,-1.35,-2.88,0.05
430,"Treveon Graham, SG",BKN,26,21.5,-3.15,0.27,-2.88,0.09
431,"DeAndre' Bembry, SF",ATL,68,24.1,-2.44,-0.44,-2.88,0.26
432,"Cristiano Felicio, PF",CHI,46,10.1,-2.59,-0.30,-2.89,0.07
433,"Lorenzo Brown, G",TOR,26,8.2,-2.68,-0.22,-2.90,0.03
434,"Trae Young, PG",ATL,68,30.8,1.74,-4.67,-2.93,0.27
435,"Will Barton, SG",DEN,26,27.8,-1.44,-1.50,-2.94,0.09
436,"Devin Harris, PG",DAL,53,15.2,-0.97,-2.01,-2.98,0.07
437,"Dwyane Wade, SG",MIA,56,25.6,-0.59,-2.41,-3.00,0.11
438,"Shaun Livingston, PG",GS,52,15.3,-2.98,-0.02,-3.00,0.06
439,"Jordan Bell, PF",GS,54,11.6,-2.82,-0.19,-3.01,0.05
440,"Jerome Robinson, SG",LAC,25,9.1,-1.91,-1.10,-3.01,0.02
