RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"James Harden, PG",HOU,51,37.4,7.85,0.12,7.97,12.28
2,"Paul George, SF",OKC,52,36.1,4.55,3.18,7.73,12.92
3,"Nikola Jokic, C",DEN,53,31.3,4.91,1.77,6.68,9.67
4,"Anthony Davis, PF",NO,41,37.0,3.69,2.83,6.52,9.55
5,"Stephen Curry, PG",GS,42,34.2,6.07,-0.36,5.71,8.25
6,"Giannis Antetokounmpo, PF",MIL,50,33.1,2.63,3.01,5.64,8.93
7,"Kyrie Irving, PG",BOS,45,32.8,4.66,0.76,5.42,7.76
8,"Kevin Durant, SF",GS,53,35.4,4.46,0.80,5.26,10.02
9,"Rudy Gobert, C",UTAH,55,31.5,0.47,4.71,5.18,9.28
10,"LeBron James, SF",LAL,36,34.7,3.16,1.63,4.79,6.46
11,"Kyle Lowry, PG",TOR,43,34.3,3.34,1.41,4.75,7.33
12,"Nikola Vucevic, C",ORL,53,31.4,1.68,3.07,4.75,8.07
13,"Marcus Smart, PG",BOS,53,26.8,1.94,2.46,4.40,6.41
14,"Joel Embiid, C",PHI,50,33.7,1.99,2.38,4.37,7.72
15,"Eric Bledsoe, PG",MIL,52,29.3,2.89,1.42,4.31,7.16
16,"Jusuf Nurkic, C",POR,52,27.3,0.49,3.78,4.27,6.43
17,"Damian Lillard, PG",POR,52,35.3,5.18,-1.05,4.13,8.03
18,"Mike Conley, PG",MEM,53,33.8,3.82,0.13,3.95,7.63
19,"Jrue Holiday, PG",NO,55,36.7,3.23,0.66,3.89,8.94
20,"Karl-Anthony Towns, C",MIN,53,33.2,2.41,1.36,3.77,7.59
21,"Danny Green, SG",TOR,53,28.7,1.47,2.21,3.68,6.64
22,"Jimmy Butler, SG",MIN/PHI,42,33.4,2.58,1.05,3.63,5.90
23,"Kevon Looney, C",GS,53,20.9,1.41,2.12,3.53,4.71
24,"Pascal Siakam, PF",TOR,54,31.2,1.85,1.48,3.33,6.93
25,"Paul Millsap, PF",DEN,44,25.7,0.76,2.42,3.18,4.44
26,"Draymond Green, PF",GS,38,31.1,-1.19,4.31,3.12,4.65
27,"Marc Gasol, C",MEM,53,33.7,0.75,2.35,3.10,6.80
28,"Brook Lopez, C",MIL,53,27.7,0.57,2.44,3.01,5.65
29,"Blake Griffin, PF",DET,51,36.3,2.49,0.50,2.99,6.69
30,"Kawhi Leonard, SF",TOR,41,34.9,2.92,-0.01,2.91,5.42
31,"Nemanja Bjelica, PF",SAC,53,23.7,0.82,2.02,2.84,4.73
32,"Joe Ingles, SF",UTAH,55,31.2,1.08,1.76,2.84,6.49
33,"Russell Westbrook, PG",OKC,45,35.5,2.46,0.33,2.79,6.00
34,"Davis Bertans, SF",SA,50,20.9,2.15,0.64,2.79,3.76
35,"Robert Covington, SF",MIN/PHI,35,34.4,-0.19,2.95,2.76,4.38
36,"Al Horford, C",BOS,44,28.3,0.77,1.84,2.61,4.38
37,"Daniel Theis, PF",BOS,40,15.0,0.69,1.92,2.61,2.00
38,"Victor Oladipo, SG",IND,36,31.9,1.66,0.95,2.61,4.01
39,"Chris Paul, PG",HOU,31,32.5,1.68,0.82,2.50,3.23
40,"Luka Doncic, SF",DAL,51,32.1,3.07,-0.59,2.48,5.82
41,"Rudy Gay, SF",SA,46,27.1,0.87,1.56,2.43,4.17
42,"Khris Middleton, SF",MIL,51,31.0,1.89,0.46,2.35,5.36
43,"Monte Morris, PG",DEN,54,25.2,2.48,-0.25,2.23,4.32
44,"Danilo Gallinari, SF",LAC,44,31.3,3.13,-0.94,2.19,4.65
45,"Kemba Walker, PG",CHA,54,34.4,3.65,-1.48,2.17,5.98
46,"Andre Iguodala, SG",GS,48,23.5,-0.02,2.17,2.15,3.65
47,"Ed Davis, PF",BKN,55,18.3,-1.18,3.32,2.14,3.24
48,"Thaddeus Young, PF",IND,54,30.0,0.86,1.27,2.13,5.06
49,"Maximilian Kleber, PF",DAL,48,19.4,-0.40,2.51,2.11,2.98
50,"Ben Simmons, PG",PHI,53,33.9,1.25,0.85,2.10,5.87
51,"Al-Farouq Aminu, PF",POR,53,29.3,0.46,1.62,2.08,4.91
52,"Dwight Powell, PF",DAL,49,16.8,1.22,0.80,2.02,2.58
53,"Tobias Harris, SF",LAC,55,34.6,1.89,0.08,1.97,6.01
54,"Donovan Mitchell, SG",UTAH,51,33.1,1.55,0.40,1.95,5.49
55,"De'Aaron Fox, PG",SAC,53,31.5,1.70,0.25,1.95,5.46
56,"Boban Marjanovic, C",LAC,36,10.4,-0.60,2.44,1.84,1.20
57,"Marvin Williams, PF",CHA,53,28.2,1.12,0.67,1.79,4.45
58,"Zaza Pachulia, C",DET,43,14.9,-1.59,3.37,1.78,1.85
59,"DeAndre Jordan, C",DAL/NY,52,30.9,-2.25,4.03,1.78,4.99
60,"Josh Richardson, SG",MIA,50,34.6,1.49,0.26,1.75,5.12
61,"Steven Adams, C",OKC,51,34.1,0.17,1.56,1.73,5.39
62,"Nerlens Noel, PF",OKC,49,14.3,-1.87,3.58,1.71,2.13
63,"D'Angelo Russell, PG",BKN,55,29.8,2.33,-0.66,1.67,4.78
64,"Jarrett Allen, C",BKN,54,26.6,-0.26,1.88,1.62,4.14
65,"Domantas Sabonis, PF",IND,52,24.8,0.78,0.83,1.61,3.66
66,"Mike Muscala, C",PHI,47,22.1,-0.37,1.97,1.60,3.02
67,"JJ Redick, SG",PHI,50,31.1,2.40,-0.81,1.59,4.65
68,"Mason Plumlee, PF",DEN,54,20.1,-0.19,1.77,1.58,2.97
69,"Nikola Mirotic, F",NO,32,28.9,0.46,1.08,1.54,2.88
70,"Taj Gibson, PF",MIN,52,25.3,0.19,1.34,1.53,3.87
71,"Noah Vonleh, PF",NY,53,26.5,-0.57,2.07,1.50,4.12
72,"Jerami Grant, SF",OKC,53,32.2,-0.10,1.54,1.44,4.97
73,"Willie Cauley-Stein, C",SAC,54,28.3,-0.41,1.83,1.42,4.45
