RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"LeBron James, SF",LAL,42,34.8,5.41,4.25,9.67,9.85
2,"Giannis Antetokounmpo, PF",MIL,42,30.6,5.75,1.92,7.66,7.60
3,"James Harden, SG",HOU,42,37.1,5.10,1.51,6.61,7.89
4,"Kawhi Leonard, SF",LAC,34,32.2,2.62,3.17,5.79,4.91
5,"Jayson Tatum, PF",BOS,42,34.0,0.98,3.95,4.93,5.37
6,"Dennis Schroder, PG",OKC,44,31.0,1.91,2.56,4.47,4.75
7,"Nikola Jokic, C",DEN,44,31.6,2.01,2.38,4.39,4.46
8,"Rudy Gobert, C",UTAH,42,34.2,0.76,3.58,4.33,4.80
9,"Terence Davis, SG",TOR,44,16.9,2.38,1.73,4.11,2.27
10,"Donte DiVincenzo, SG",MIL,41,22.7,1.90,2.12,4.02,3.08
11,"Paul Millsap, PF",DEN,32,24.9,0.39,3.44,3.82,2.35
12,"Jimmy Butler, SF",MIA,38,35.0,0.87,2.93,3.79,3.89
13,"Pascal Siakam, PF",TOR,33,35.2,2.27,1.51,3.79,3.53
14,"Khris Middleton, SF",MIL,38,28.4,2.98,0.64,3.62,3.28
15,"Chris Paul, PG",OKC,45,31.8,1.90,1.68,3.58,4.05
16,"Ben Simmons, PG",PHI,44,36.1,2.44,1.11,3.56,4.53
17,"De'Anthony Melton, SG",MEM,33,17.7,2.60,0.89,3.49,1.68
18,"Alex Caruso, SG",LAL,41,19.1,-0.55,4.04,3.49,2.16
19,"Domantas Sabonis, PF",IND,42,34.1,-0.05,3.54,3.49,3.92
20,"Davis Bertans, SF",WSH,34,29.2,4.24,-0.79,3.46,2.88
21,"Luka Doncic, SG",DAL,39,32.9,4.92,-1.55,3.37,3.58
22,"Damian Lillard, PG",POR,43,36.9,3.68,-0.55,3.13,4.07
23,"Bojan Bogdanovic, SF",UTAH,43,33.2,2.66,0.40,3.06,3.59
24,"Patrick Beverley, PG",LAC,36,28.3,0.24,2.76,3.00,2.62
25,"Ivica Zubac, C",LAC,45,17.5,0.38,2.59,2.97,1.97
26,"Eric Bledsoe, PG",MIL,37,26.1,2.51,0.41,2.92,2.56
27,"Jalen Brunson, PG",DAL,43,16.8,0.94,1.92,2.86,1.74
28,"Donovan Mitchell, SG",UTAH,43,34.3,1.68,1.11,2.79,3.43
29,"Kemba Walker, PG",BOS,38,31.7,4.11,-1.36,2.76,2.78
30,"Marc Gasol, C",TOR,32,27.8,-0.11,2.85,2.74,2.07
31,"Will Barton, SF",DEN,41,33.6,0.21,2.47,2.68,2.94
32,"David Nwaba, G",BKN,20,13.4,0.50,2.12,2.63,0.62
33,"Joel Embiid, C",PHI,31,31.1,0.14,2.44,2.58,2.12
34,"Devonte' Graham, PG",CHA,45,35.2,1.05,1.50,2.55,3.25
35,"CJ McCollum, SG",POR,42,35.6,1.81,0.71,2.51,3.17
36,"Joe Ingles, SG",UTAH,44,29.9,0.08,2.39,2.47,2.77
37,"Lonnie Walker IV, SG",SA,35,12.3,0.33,2.13,2.46,0.91
38,"Ricky Rubio, PG",PHX,37,32.2,1.62,0.83,2.44,2.59
39,"Chris Chiozza, PG",BKN/WSH,11,11.8,0.24,2.19,2.43,0.28
40,"Bam Adebayo, PF",MIA,44,34.5,-0.36,2.73,2.38,3.06
41,"Kris Dunn, PG",CHI,46,25.2,-1.26,3.61,2.35,2.38
42,"Shaquille Harrison, PG",CHI,27,7.1,0.01,2.34,2.35,0.40
43,"George Hill, PG",MIL,42,21.0,2.35,-0.03,2.31,1.84
44,"Tobias Harris, SF",PHI,46,34.3,-0.65,2.93,2.29,3.09
45,"Paul George, SG",LAC,26,30.7,2.14,0.13,2.27,1.67
46,"Anthony Davis, PF",LAL,37,34.7,1.31,0.96,2.27,2.53
47,"Enes Kanter, C",BOS,36,18.5,1.37,0.87,2.23,1.28
48,"Devin Booker, SG",PHX,41,35.9,4.08,-1.87,2.21,2.95
49,"Ben McLemore, SG",HOU,43,23.9,2.64,-0.44,2.20,2.07
50,"Josh Hart, SG",NO,38,28.4,0.68,1.52,2.20,2.17
51,"Richaun Holmes, C",SAC,37,29.4,-0.53,2.70,2.18,2.08
52,"E'Twaun Moore, SG",NO,33,21.2,0.97,1.19,2.16,1.37
53,"Malcolm Brogdon, PG",IND,33,30.1,0.90,1.26,2.16,1.89
54,"Montrezl Harrell, PF",LAC,44,28.8,2.50,-0.35,2.15,2.50
55,"Kyle Lowry, PG",TOR,33,37.1,1.38,0.77,2.15,2.27
56,"Steven Adams, C",OKC,40,27.0,0.82,1.33,2.15,2.07
57,"Karl-Anthony Towns, C",MIN,27,33.4,4.90,-2.92,1.98,1.65
58,"Jamal Murray, PG",DEN,40,32.0,-0.10,2.06,1.97,2.22
59,"Norman Powell, SG",TOR,33,28.7,2.02,-0.06,1.96,1.72
60,"Patty Mills, PG",SA,43,23.2,2.64,-0.69,1.95,1.82
61,"Fred VanVleet, SG",TOR,34,35.9,-0.09,2.02,1.94,2.15
62,"Reggie Jackson, PG",DET,3,18.3,1.14,0.79,1.93,0.06
63,"Trey Burke, PG",PHI,22,14.1,0.61,1.30,1.91,0.52
64,"Jarrett Allen, C",BKN,42,26.8,0.62,1.26,1.88,2.03
65,"Robert Covington, PF",MIN,43,29.1,1.22,0.65,1.86,2.21
66,"Jakob Poeltl, C",SA,43,17.3,1.46,0.39,1.85,1.30
67,"Russell Westbrook, PG",HOU,37,35.5,3.16,-1.32,1.84,2.37
68,"Nikola Vucevic, C",ORL,34,31.6,1.07,0.72,1.79,1.76
69,"Danny Green, SG",LAL,43,25.1,0.75,1.03,1.79,1.78
70,"Derrick Rose, PG",DET,39,26.2,3.43,-1.65,1.78,1.66
71,"Al Horford, PF",PHI,42,31.0,-0.49,2.24,1.75,2.12
72,"Denzel Valentine, SG",CHI,24,11.4,0.49,1.24,1.74,0.45
73,"Doug McDermott, SF",IND,45,20.9,1.50,0.23,1.73,1.52
74,"Dwight Powell, C",DAL,40,26.5,0.27,1.45,1.72,1.73
75,"Lou Williams, SG",LAC,42,30.1,3.04,-1.33,1.71,2.12
76,"Kristaps Porzingis, PF",DAL,32,31.1,-0.02,1.71,1.69,1.64
77,"Trae Young, PG",ATL,40,35.1,5.53,-3.86,1.67,2.38
78,"D.J. Augustin, PG",ORL,39,26.0,-1.61,3.20,1.60,1.55
79,"Kyrie Irving, PG",BKN,15,32.7,3.14,-1.58,1.56,0.79
80,"Marcus Morris Sr., SF",NY,37,32.0,0.24,1.30,1.54,1.64
81,"Jonas Valanciunas, C",MEM,41,25.4,0.92,0.59,1.50,1.57
82,"Spencer Dinwiddie, PG",BKN,42,31.0,2.46,-0.96,1.50,2.01
83,"Duncan Robinson, SG",MIA,44,27.9,0.55,0.93,1.48,1.78
84,"J.J. Barea, PG",DAL,13,15.0,1.06,0.42,1.48,0.28
85,"Rondae Hollis-Jefferson, SF",TOR,36,20.1,-0.25,1.71,1.46,1.02
86,"Tim Hardaway Jr., SG",DAL,40,26.2,1.44,-0.05,1.39,1.52
87,"Boban Marjanovic, C",DAL,22,10.2,1.81,-0.42,1.39,0.31
88,"Kendrick Nunn, SG",MIA,44,30.6,-0.16,1.54,1.38,1.84
89,"Zach LaVine, PG",CHI,46,34.1,1.74,-0.36,1.37,2.20
90,"Stephen Curry, PG",GS,4,28.0,3.62,-2.28,1.34,0.17
91,"Mike Scott, PF",PHI,46,18.0,-0.03,1.37,1.34,1.12
92,"Andre Drummond, C",DET,42,33.5,-0.21,1.55,1.34,1.89
