RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Paul George, SF",OKC,77,36.9,4.49,3.09,7.58,19.77
2,"James Harden, PG",HOU,78,36.8,7.38,0.09,7.47,18.63
3,"Stephen Curry, PG",GS,69,33.8,5.86,0.68,6.54,14.78
4,"Giannis Antetokounmpo, PF",MIL,72,32.8,3.13,3.09,6.22,14.49
5,"Nikola Jokic, C",DEN,80,31.3,3.63,2.56,6.19,14.46
6,"Anthony Davis, PF",NO,56,33.0,2.52,3.20,5.72,10.79
7,"Joel Embiid, C",PHI,64,33.7,2.37,3.12,5.49,11.67
8,"Nikola Vucevic, C",ORL,80,31.4,1.84,3.60,5.44,13.59
9,"LeBron James, SF",LAL,55,35.2,3.48,1.84,5.32,10.89
10,"Damian Lillard, PG",POR,80,35.5,5.69,-0.42,5.27,14.86
11,"Kevin Durant, SF",GS,78,34.6,4.53,0.68,5.21,14.53
12,"Danny Green, SG",TOR,80,27.7,2.92,2.16,5.08,11.73
13,"Kyle Lowry, PG",TOR,65,34.0,2.83,2.10,4.93,11.36
14,"Rudy Gobert, C",UTAH,81,31.8,0.26,4.44,4.70,13.20
15,"Chris Paul, PG",HOU,58,32.0,2.40,2.27,4.67,9.06
16,"Jrue Holiday, PG",NO,67,35.9,3.38,1.24,4.62,12.30
17,"Al Horford, C",BOS,68,29.0,1.79,2.65,4.44,9.52
18,"Kyrie Irving, PG",BOS,67,33.0,3.85,0.58,4.43,10.62
19,"Brook Lopez, C",MIL,81,28.7,0.66,3.56,4.22,11.30
20,"Paul Millsap, PF",DEN,70,27.1,1.50,2.65,4.15,8.58
21,"Pascal Siakam, PF",TOR,80,31.9,1.91,2.23,4.14,11.86
22,"Jimmy Butler, SG",MIN/PHI,65,33.6,2.27,1.82,4.09,10.11
23,"Marc Gasol, C",TOR/MEM,79,30.8,0.95,2.98,3.93,10.54
24,"Jusuf Nurkic, C",POR,72,27.4,0.73,3.12,3.85,8.66
25,"Karl-Anthony Towns, C",MIN,77,33.1,2.99,0.84,3.83,11.32
26,"Eric Bledsoe, PG",MIL,78,29.1,2.73,0.91,3.64,10.23
27,"Danilo Gallinari, SF",LAC,68,30.3,3.47,0.00,3.47,8.55
28,"Kevon Looney, C",GS,80,18.5,1.20,2.22,3.42,6.21
29,"Kawhi Leonard, SF",TOR,60,34.0,3.31,0.01,3.32,8.40
30,"Draymond Green, PF",GS,66,31.3,-0.32,3.52,3.20,8.39
31,"Mike Conley, PG",MEM,70,33.5,3.54,-0.46,3.08,9.12
32,"Blake Griffin, PF",DET,75,35.0,2.47,0.45,2.92,9.67
