RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Anthony Davis, PF",NO,25,36.8,3.48,3.56,7.04,5.95
2,"Nikola Jokic, C",DEN,27,30.4,3.87,2.75,6.62,4.81
3,"James Harden, PG",HOU,23,36.0,6.99,-0.39,6.60,4.59
4,"Marc Gasol, C",MEM,26,35.0,1.90,4.06,5.96,4.79
5,"Paul George, SF",OKC,25,34.7,3.26,2.47,5.73,4.98
6,"LeBron James, SF",LAL,27,34.9,4.48,0.97,5.45,5.22
7,"Kyrie Irving, PG",BOS,24,31.7,4.44,1.01,5.45,4.22
8,"Stephen Curry, PG",GS,17,33.5,5.37,-0.06,5.31,3.10
9,"Giannis Antetokounmpo, PF",MIL,24,34.0,2.32,2.79,5.11,4.49
10,"Nikola Vucevic, C",ORL,27,30.7,2.43,2.52,4.95,4.13
11,"Robert Covington, SF",MIN/PHI,25,34.3,0.54,4.36,4.90,4.09
12,"Kevin Durant, SF",GS,28,35.8,4.44,0.24,4.68,4.84
13,"Kyle Lowry, PG",TOR,28,34.1,3.78,0.71,4.49,4.61
14,"Damian Lillard, PG",POR,27,35.3,6.15,-1.74,4.41,4.28
15,"Mike Conley, PG",MEM,26,33.9,3.81,0.21,4.02,3.72
16,"Danilo Gallinari, SF",LAC,26,31.5,4.03,-0.07,3.96,3.35
17,"Eric Bledsoe, PG",MIL,26,29.7,3.37,0.58,3.95,3.52
18,"Pascal Siakam, PF",TOR,29,29.9,2.16,1.78,3.94,3.87
19,"Jrue Holiday, PG",NO,29,36.7,3.42,0.47,3.89,4.81
20,"Jimmy Butler, SG",MIN/PHI,23,33.7,3.11,0.72,3.83,3.51
21,"Kemba Walker, PG",CHA,26,34.7,5.17,-1.37,3.80,4.11
22,"Kawhi Leonard, SF",TOR,22,34.7,3.17,0.58,3.75,3.42
23,"Joe Ingles, SF",UTAH,28,31.6,1.35,2.35,3.70,3.79
24,"Nemanja Bjelica, PF",SAC,26,24.2,1.33,2.19,3.52,2.69
25,"Paul Millsap, PF",DEN,25,26.8,0.65,2.82,3.47,2.77
26,"Boban Marjanovic, C",LAC,21,11.5,0.20,3.04,3.24,0.85
27,"Jusuf Nurkic, C",POR,27,26.5,0.55,2.69,3.24,2.76
28,"Rudy Gobert, C",UTAH,28,31.0,0.32,2.81,3.13,3.45
29,"Dwight Powell, PF",DAL,22,16.7,0.88,2.20,3.08,1.36
30,"Chris Paul, PG",HOU,21,33.9,2.15,0.88,3.03,2.50
31,"Danny Green, SG",TOR,29,29.3,1.06,1.76,2.82,3.22
32,"Victor Oladipo, SG",IND,16,32.4,1.87,0.85,2.72,1.74
33,"Noah Vonleh, PF",NY,28,25.6,0.13,2.53,2.66,2.70
34,"Domantas Sabonis, PF",IND,25,24.6,0.84,1.82,2.66,2.11
35,"Marcus Smart, PG",BOS,26,24.4,0.84,1.79,2.63,2.22
36,"Joel Embiid, C",PHI,27,34.3,1.14,1.42,2.56,3.17
37,"Mason Plumlee, PF",DEN,27,18.1,-0.34,2.89,2.55,1.59
38,"Brook Lopez, C",MIL,26,27.7,0.66,1.86,2.52,2.63
39,"Kelly Olynyk, PF",MIA,25,19.9,0.77,1.74,2.51,1.72
40,"Blake Griffin, PF",DET,24,35.6,1.85,0.61,2.46,3.10
41,"Jonas Jerebko, PF",GS,28,20.3,1.49,0.92,2.41,1.88
42,"Khris Middleton, SF",MIL,25,30.6,2.16,0.22,2.38,2.73
43,"Juan Hernangomez, PF",DEN,26,27.2,1.29,0.89,2.18,2.18
44,"Montrezl Harrell, PF",LAC,27,25.7,0.99,0.97,1.96,2.12
45,"Josh Hart, SG",LAL,27,25.2,1.10,0.85,1.95,2.22
46,"Russell Westbrook, PG",OKC,17,33.6,1.74,0.19,1.93,1.86
47,"Cody Zeller, C",CHA,25,24.3,-0.07,1.99,1.92,2.03
48,"Steven Adams, C",OKC,24,33.3,-0.17,2.07,1.90,2.60
49,"Tobias Harris, SF",LAC,27,34.8,1.45,0.36,1.81,2.70
50,"Ben Simmons, PG",PHI,27,33.2,0.24,1.54,1.78,2.73
51,"DeMar DeRozan, SG",SA,28,35.4,2.15,-0.40,1.75,2.91
52,"Rudy Gay, SF",SA,24,27.2,0.39,1.35,1.74,1.89
53,"Bam Adebayo, C",MIA,26,20.3,-0.51,2.20,1.69,1.53
54,"Cory Joseph, PG",IND,27,26.1,0.12,1.55,1.67,2.07
55,"Jarrett Allen, C",BKN,26,28.2,0.01,1.61,1.62,2.04
56,"Aaron Gordon, PF",ORL,25,32.6,0.90,0.70,1.60,2.32
57,"De'Aaron Fox, PG",SAC,26,32.3,2.19,-0.61,1.58,2.57
58,"D.J. Augustin, PG",ORL,27,27.1,2.35,-0.86,1.49,2.08
59,"Al Horford, C",BOS,22,30.0,-0.70,2.18,1.48,1.95
60,"Al-Farouq Aminu, PF",POR,27,30.1,-0.61,2.08,1.47,2.18
61,"Ed Davis, PF",BKN,28,17.1,-0.82,2.29,1.47,1.32
62,"Nikola Mirotic, PF",NO,25,30.0,1.18,0.28,1.46,2.29
63,"Karl-Anthony Towns, C",MIN,27,33.6,0.49,0.97,1.46,2.54
64,"Otto Porter Jr., SF",WSH,25,29.5,1.00,0.43,1.43,2.15
65,"Jayson Tatum, SF",BOS,26,31.0,0.61,0.79,1.40,2.23
66,"Jerami Grant, SF",OKC,25,30.1,-0.39,1.76,1.37,2.18
67,"Nerlens Noel, PF",OKC,24,14.3,-1.08,2.45,1.37,0.95
68,"Jeremy Lamb, SG",CHA,26,28.0,1.69,-0.35,1.34,2.13
69,"Taj Gibson, PF",MIN,27,25.9,0.29,1.02,1.31,1.92
70,"Joe Harris, SF",BKN,25,29.6,1.46,-0.15,1.31,1.93
71,"Josh Richardson, SG",MIA,25,35.0,1.51,-0.23,1.28,2.33
72,"Draymond Green, PF",GS,14,30.4,-1.11,2.35,1.24,1.11
73,"Darren Collison, PG",IND,27,28.3,0.52,0.71,1.23,1.88
74,"Jonas Valanciunas, C",TOR,29,19.2,-0.64,1.87,1.23,1.58
75,"Mike Muscala, PF",PHI,22,24.1,-0.36,1.54,1.18,1.37
76,"Kevon Looney, SF",GS,28,20.0,0.34,0.83,1.17,1.48
77,"Daniel Theis, PF",BOS,16,13.8,-0.83,1.97,1.14,0.55
78,"DeAndre Jordan, C",DAL,25,31.3,-2.13,3.26,1.13,2.07
79,"Maximilian Kleber, PF",DAL,22,18.5,-0.49,1.57,1.08,1.05
80,"Marvin Williams, PF",CHA,25,25.2,0.02,1.05,1.07,1.73
81,"Devin Booker, SG",PHX,19,35.3,2.38,-1.36,1.02,1.75
82,"Gordon Hayward, SF",BOS,23,26.7,0.16,0.84,1.00,1.64
83,"Donovan Mitchell, SG",UTAH,24,32.2,1.27,-0.27,1.00,2.01
84,"Pau Gasol, C",SA,9,17.4,-1.17,2.16,0.99,0.36
85,"D'Angelo Russell, PG",BKN,28,29.3,2.28,-1.32,0.96,2.00
86,"Aron Baynes, C",BOS,21,14.5,-1.09,1.97,0.88,0.81
87,"Monte Morris, PG",DEN,27,24.3,1.17,-0.34,0.83,1.56
88,"Gary Harris, SG",DEN,21,32.3,1.22,-0.41,0.81,1.68
89,"Hassan Whiteside, C",MIA,22,26.9,-2.42,3.21,0.79,1.46
90,"Zaza Pachulia, C",DET,25,12.8,-1.64,2.42,0.78,0.79
91,"Doug McDermott, SF",IND,27,17.3,0.99,-0.22,0.77,1.10
92,"Wesley Matthews, SG",DAL,21,31.0,1.63,-0.88,0.75,1.56
93,"Derrick Favors, PF",UTAH,27,23.2,-0.41,1.16,0.75,1.51
94,"Davis Bertans, SF",SA,24,17.2,0.85,-0.11,0.74,1.00
95,"Marcin Gortat, C",LAC,21,17.5,-1.81,2.47,0.66,0.83
96,"JJ Redick, SG",PHI,28,30.9,2.54,-1.89,0.65,1.99
97,"Serge Ibaka, PF",TOR,28,27.4,-0.04,0.68,0.64,1.81
98,"Willie Cauley-Stein, C",SAC,26,28.3,-0.57,1.19,0.62,1.79
99,"Ricky Rubio, PG",UTAH,28,29.6,0.31,0.30,0.61,1.97
100,"Iman Shumpert, SG",SAC,22,25.6,1.05,-0.44,0.61,1.34
101,"Justin Holiday, SF",CHI,28,34.9,0.75,-0.16,0.59,2.27
102,"Ryan Arcidiacono, PG",CHI,27,28.4,0.24,0.33,0.57,1.78
103,"Bradley Beal, SG",WSH,27,35.7,1.86,-1.30,0.56,2.19
104,"Meyers Leonard, PF",POR,24,12.3,-0.02,0.57,0.55,0.65
105,"Omri Casspi, SF",MEM,20,12.8,-0.83,1.31,0.48,0.54
106,"Malcolm Brogdon, PG",MIL,26,30.2,1.51,-1.04,0.47,1.80
107,"Frank Kaminsky, PF",CHA,15,12.9,-1.09,1.55,0.46,0.46
108,"Tyson Chandler, C",LAL/PHX,24,18.8,-2.71,3.14,0.43,1.00
109,"John Wall, PG",WSH,25,34.2,1.58,-1.15,0.43,1.95
110,"Tomas Satoransky, SG",WSH,27,17.4,0.07,0.32,0.39,0.98
111,"Jaren Jackson Jr., PF",MEM,26,25.0,-1.33,1.68,0.35,1.35
112,"John Collins, PF",ATL,11,28.0,0.18,0.16,0.34,0.76
113,"Michael Kidd-Gilchrist, SF",CHA,20,20.2,-0.43,0.75,0.32,0.89
114,"Luka Doncic, SF",DAL,24,32.3,0.91,-0.63,0.28,1.66
115,"Jae Crowder, PF",UTAH,28,27.9,1.10,-0.83,0.27,1.67
116,"Pat Connaughton, SG",MIL,22,18.7,-0.06,0.29,0.23,0.90
117,"T.J. Warren, SF",PHX,22,28.9,1.01,-0.79,0.22,1.31
118,"Derrick Rose, PG",MIN,25,29.7,2.88,-2.73,0.15,1.48
119,"Bogdan Bogdanovic, SG",SAC,15,26.5,0.97,-0.85,0.12,0.79
120,"Devin Harris, PG",DAL,15,15.2,-0.04,0.14,0.10,0.43
121,"Fred VanVleet, PG",TOR,25,24.2,0.71,-0.64,0.07,1.19
122,"Julius Randle, PF",NO,29,27.4,1.43,-1.37,0.06,1.61
123,"Damian Jones, C",GS,24,17.1,-0.86,0.90,0.04,0.81
124,"Dennis Schroder, PG",OKC,25,29.4,0.31,-0.29,0.02,1.48
125,"Evan Fournier, SG",ORL,26,30.3,0.32,-0.32,0.00,1.57
126,"Salah Mejri, C",DAL,9,6.2,-1.81,1.80,-0.01,0.10
127,"Jamal Murray, PG",DEN,27,34.4,0.86,-0.89,-0.03,1.73
128,"Marcus Morris, PF",BOS,25,26.7,0.69,-0.73,-0.04,1.25
129,"David Nwaba, SG",CLE,14,17.4,-0.61,0.57,-0.04,0.45
130,"Nene Hilario, C",HOU,5,14.8,-1.77,1.72,-0.05,0.09
131,"Patty Mills, PG",SA,28,25.1,1.83,-1.88,-0.05,1.31
132,"Mitchell Robinson, C",NY,26,17.6,-1.29,1.24,-0.05,0.91
133,"Jakob Poeltl, C",SA,24,13.9,0.11,-0.18,-0.07,0.59
134,"Jeremy Lin, PG",ATL,23,18.5,1.37,-1.46,-0.09,0.92
135,"PJ Tucker, SF",HOU,26,34.6,-1.34,1.22,-0.12,1.53
136,"Larry Nance Jr., PF",CLE,25,23.6,-0.58,0.45,-0.13,1.08
137,"Andre Iguodala, SG",GS,25,23.4,-1.60,1.45,-0.15,1.07
138,"Thaddeus Young, PF",IND,27,28.9,-1.64,1.47,-0.17,1.30
139,"Kyle Kuzma, PF",LAL,27,31.9,0.82,-0.99,-0.17,1.64
140,"Cheick Diallo, PF",NO,22,9.9,-1.67,1.49,-0.18,0.38
141,"Myles Turner, C",IND,26,27.8,-3.13,2.94,-0.19,1.20
142,"J.J. Barea, PG",DAL,24,19.5,1.06,-1.27,-0.21,0.85
143,"Bojan Bogdanovic, SF",IND,27,31.3,1.23,-1.44,-0.21,1.42
144,"Mike Scott, PF",LAC,27,15.3,-1.03,0.79,-0.24,0.75
145,"CJ McCollum, SG",POR,26,34.5,1.87,-2.11,-0.24,1.52
146,"Garrett Temple, SG",MEM,26,31.8,-0.91,0.66,-0.25,1.38
147,"Channing Frye, F",CLE,8,6.6,-1.96,1.69,-0.27,0.09
148,"Ian Mahinmi, C",WSH,15,13.2,-2.41,2.14,-0.27,0.33
149,"Ersan Ilyasova, PF",MIL,22,20.4,-1.00,0.72,-0.28,0.81
150,"Tony Snell, SG",MIL,26,16.8,0.38,-0.67,-0.29,0.78
151,"Buddy Hield, SG",SAC,26,30.8,0.75,-1.04,-0.29,1.47
152,"John Henson, F",MIL,14,13.4,-1.58,1.27,-0.31,0.36
153,"Jason Smith, C",MIL/WSH,13,10.4,-1.94,1.62,-0.32,0.24
154,"Zach Collins, PF",POR,27,19.2,-1.04,0.72,-0.32,0.83
155,"Alfonzo McKinnie, SF",GS,19,16.1,-0.34,-0.01,-0.35,0.50
156,"Willy Hernangomez, C",CHA,19,12.4,-0.41,0.05,-0.36,0.42
157,"Dorian Finney-Smith, SF",DAL,25,26.9,0.10,-0.47,-0.37,1.14
