RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"LeBron James, SF",LAL,32,35.0,5.12,4.69,9.81,7.80
2,"Giannis Antetokounmpo, PF",MIL,32,30.9,5.87,1.44,7.31,5.45
3,"James Harden, SG",HOU,32,37.7,5.57,1.27,6.83,6.51
4,"Kawhi Leonard, SF",LAC,25,31.8,2.15,3.76,5.91,3.70
5,"Jayson Tatum, PF",BOS,30,34.1,1.25,4.29,5.53,4.39
6,"Jimmy Butler, SF",MIA,29,35.4,0.77,4.39,5.16,3.98
7,"Nikola Jokic, C",DEN,32,31.2,1.82,2.91,4.73,3.56
8,"Paul Millsap, PF",DEN,28,24.9,0.42,4.21,4.63,2.47
9,"Pascal Siakam, PF",TOR,27,36.7,2.42,2.20,4.61,3.71
10,"Donte DiVincenzo, SG",MIL,32,22.4,1.45,2.93,4.37,2.48
11,"Dennis Schroder, PG",OKC,31,30.2,1.71,2.30,4.02,3.11
12,"Khris Middleton, SF",MIL,28,28.1,3.25,0.63,3.87,2.43
13,"Christian Wood, PF",DET,30,16.0,1.92,1.65,3.56,1.34
14,"Joel Embiid, C",PHI,29,30.9,0.21,3.27,3.47,2.57
15,"Will Barton, SG",DEN,30,32.9,0.40,3.06,3.46,2.72
16,"Domantas Sabonis, PF",IND,31,34.2,0.05,3.35,3.40,3.00
17,"Alex Caruso, SG",LAL,31,20.0,-0.15,3.45,3.30,1.70
18,"Damian Lillard, PG",POR,32,36.8,3.09,0.19,3.28,3.19
19,"Jalen Brunson, PG",DAL,32,17.6,1.52,1.74,3.25,1.57
20,"De'Anthony Melton, SG",MEM,23,16.6,2.17,1.07,3.24,1.10
21,"Ricky Rubio, PG",PHX,27,32.0,1.88,1.34,3.22,2.36
22,"Tobias Harris, SF",PHI,35,34.4,0.00,3.20,3.20,3.25
23,"Rudy Gobert, C",UTAH,31,34.6,0.40,2.78,3.19,2.83
24,"Terence Davis, SG",TOR,33,16.6,1.12,2.04,3.15,1.47
25,"Chris Chiozza, G",WSH,10,12.3,0.26,2.72,2.98,0.32
26,"Luka Doncic, SF",DAL,28,32.0,4.39,-1.41,2.98,2.35
27,"David Nwaba, SG",BKN,20,13.4,0.42,2.50,2.93,0.70
28,"CJ McCollum, SG",POR,34,36.7,2.03,0.88,2.91,3.03
29,"Montrezl Harrell, PF",LAC,33,29.2,2.29,0.60,2.89,2.54
30,"Kris Dunn, PG",CHI,34,23.5,-1.53,4.42,2.88,2.00
31,"Bojan Bogdanovic, SF",UTAH,32,33.7,2.45,0.39,2.84,2.62
32,"Eric Bledsoe, PG",MIL,27,26.3,2.93,-0.10,2.83,1.85
33,"Patrick Beverley, PG",LAC,29,28.9,-0.66,3.41,2.75,2.08
34,"Jaylen Brown, SG",BOS,27,33.6,1.55,1.14,2.69,2.13
35,"Ivica Zubac, C",LAC,34,17.3,0.51,2.12,2.63,1.41
36,"Dwight Powell, PF",DAL,29,26.1,0.42,2.21,2.62,1.76
37,"E'Twaun Moore, SG",NO,22,20.0,1.00,1.58,2.57,1.02
38,"Marc Gasol, C",TOR,27,28.2,-0.93,3.50,2.57,1.78
39,"Shaquille Harrison, PG",CHI,20,7.8,-0.20,2.73,2.53,0.35
40,"Richaun Holmes, PF",SAC,33,29.3,-0.18,2.69,2.51,2.12
41,"Al Horford, C",PHI,31,30.5,-0.14,2.61,2.47,2.11
42,"Ben Simmons, PG",PHI,33,35.2,2.28,0.18,2.46,2.62
43,"Paul George, SF",LAC,23,31.2,2.59,-0.14,2.45,1.64
44,"Donovan Mitchell, SG",UTAH,33,34.9,1.32,1.12,2.44,2.49
45,"Jrue Holiday, SG",NO,32,35.7,1.67,0.67,2.34,2.52
46,"Davis Bertans, SF",WSH,28,30.0,3.68,-1.35,2.33,1.90
47,"Trey Burke, PG",PHI,16,14.8,0.22,2.11,2.32,0.48
48,"Jakob Poeltl, C",SA,31,18.3,1.22,1.07,2.29,1.22
49,"Anthony Davis, PF",LAL,31,35.1,1.58,0.68,2.26,2.26
50,"Ben McLemore, SG",HOU,33,24.1,2.56,-0.32,2.24,1.70
51,"Wesley Matthews, SG",MIL,33,23.9,0.45,1.79,2.23,1.68
52,"Kemba Walker, PG",BOS,29,32.4,3.82,-1.60,2.22,1.94
53,"Jonathan Isaac, PF",ORL,31,30.5,-0.42,2.62,2.21,1.87
54,"Chris Paul, PG",OKC,32,31.7,0.91,1.27,2.18,2.05
55,"Devonte' Graham, PG",CHA,35,34.7,1.15,0.96,2.11,2.30
56,"Enes Kanter, C",BOS,23,17.5,1.20,0.90,2.10,0.78
57,"OG Anunoby, SF",TOR,32,29.6,-0.07,2.16,2.09,1.90
58,"Duncan Robinson, SF",MIA,33,27.2,1.08,0.98,2.06,1.68
59,"Denzel Valentine, SG",CHI,20,13.0,0.57,1.49,2.06,0.47
60,"Kyle Lowry, PG",TOR,22,38.1,1.83,0.20,2.03,1.66
61,"Jonas Valanciunas, C",MEM,31,25.0,0.77,1.24,2.01,1.52
62,"Bam Adebayo, C",MIA,33,34.4,-0.60,2.57,1.97,2.06
63,"Ersan Ilyasova, PF",MIL,32,17.0,1.96,-0.08,1.88,0.99
64,"Jarrett Allen, C",BKN,32,26.5,0.84,1.01,1.85,1.53
65,"Julius Randle, PF",NY,33,32.0,-0.18,2.03,1.85,1.90
66,"Bogdan Bogdanovic, SG",SAC,28,28.4,-0.16,1.98,1.82,1.37
67,"Sterling Brown, SG",MIL,25,16.9,0.04,1.77,1.81,0.76
68,"Gary Payton II, PG",WSH,4,27.5,1.03,0.78,1.81,0.18
69,"J.J. Barea, PG",DAL,8,13.9,1.20,0.55,1.75,0.19
70,"Karl-Anthony Towns, C",MIN,23,33.9,4.74,-2.99,1.75,1.42
71,"Spencer Dinwiddie, PG",BKN,32,31.0,2.55,-0.80,1.75,1.70
72,"Mason Plumlee, PF",DEN,32,17.4,0.11,1.59,1.70,0.91
73,"Aaron Holiday, PG",IND,31,23.2,0.67,1.02,1.69,1.22
74,"George Hill, PG",MIL,33,21.5,2.17,-0.48,1.68,1.16
75,"Jamal Murray, PG",DEN,32,32.0,-0.10,1.78,1.68,1.65
76,"Royce O'Neale, SF",UTAH,33,29.4,-0.34,2.02,1.68,1.62
77,"Justise Winslow, SF",MIA,10,33.7,-0.20,1.87,1.66,0.59
78,"Malcolm Brogdon, PG",IND,26,31.4,1.35,0.31,1.66,1.36
79,"Josh Richardson, SG",PHI,27,31.7,-0.30,1.96,1.66,1.42
80,"Lonnie Walker IV, SG",SA,23,10.2,0.44,1.19,1.64,0.40
81,"Kristaps Porzingis, PF",DAL,31,31.2,0.02,1.61,1.63,1.62
82,"Andre Drummond, C",DET,32,33.8,0.38,1.23,1.61,1.65
83,"Joe Ingles, SF",UTAH,33,29.9,-0.75,2.34,1.59,1.57
84,"Deandre Ayton, C",PHX,3,26.0,1.10,0.48,1.59,0.10
85,"Gordon Hayward, SF",BOS,14,30.5,1.78,-0.24,1.54,0.69
86,"Daniel Theis, PF",BOS,27,21.5,-1.31,2.83,1.51,0.90
87,"Josh Hart, SG",NO,27,27.7,0.08,1.43,1.51,1.23
88,"Brandon Ingram, SF",NO,30,34.1,2.13,-0.64,1.48,1.67
89,"Mikal Bridges, SF",PHX,33,22.0,-0.26,1.71,1.45,1.11
90,"Fred VanVleet, SG",TOR,28,36.5,0.39,1.05,1.44,1.59
91,"Lou Williams, SG",LAC,32,30.3,2.68,-1.26,1.42,1.54
92,"Patty Mills, PG",SA,31,23.0,2.21,-0.80,1.41,1.13
93,"Wendell Carter Jr., C",CHI,34,30.0,-1.87,3.27,1.40,1.50
94,"John Collins, PF",ATL,9,31.9,-0.17,1.57,1.40,0.39
95,"Meyers Leonard, PF",MIA,33,19.0,-0.48,1.87,1.39,0.90
96,"Kendrick Nunn, SG",MIA,33,30.7,-0.23,1.60,1.37,1.45
97,"Tomas Satoransky, SG",CHI,34,28.1,0.18,1.17,1.35,1.40
98,"Rudy Gay, SF",SA,31,22.8,0.43,0.87,1.30,1.05
99,"Delon Wright, PG",DAL,30,20.5,0.72,0.56,1.28,0.89
100,"Steven Adams, C",OKC,29,27.8,0.82,0.45,1.27,1.13
101,"Brad Wanamaker, PG",BOS,30,18.7,-0.33,1.60,1.27,0.78
