TEAM_NAME,G_ON_MADE,PLAYER_NAME,FREQUENCY_ON_MADE,PASS_ON_MADE,AST_ON_MADE,FGM_ON_MADE,FGA_ON_MADE,FG_PCT_ON_MADE,FG2M_ON_MADE,FG2A_ON_MADE,FG2_PCT_ON_MADE,FG3M_ON_MADE,FG3A_ON_MADE,FG3_PCT_ON_MADE,G_ON_RECEIVED,FREQUENCY_ON_RECEIVED,PASS_ON_RECEIVED,AST_ON_RECEIVED,FGM_ON_RECEIVED,FGA_ON_RECEIVED,FG_PCT_ON_RECEIVED,FG2M_ON_RECEIVED,FG2A_ON_RECEIVED,FG2_PCT_ON_RECEIVED,FG3M_ON_RECEIVED,FG3A_ON_RECEIVED,FG3_PCT_ON_RECEIVED
Utah Jazz,7.0,"Johnson, Joe",0.024,29.57,1.43,2.71,7.0,0.388,1.86,4.14,0.448,0.86,2.86,0.3,7.0,0.02,25.43,0.43,2.43,6.57,0.37,2.14,4.14,0.517,0.29,2.43,0.118
Utah Jazz,21.0,"Jerebko, Jonas",0.064,26.67,0.81,2.0,5.24,0.382,1.29,3.43,0.375,0.71,1.81,0.395,20.0,0.049,21.25,1.95,2.3,4.8,0.479,1.15,2.35,0.489,1.15,2.45,0.469
Utah Jazz,16.0,"Neto, Raul",0.047,25.38,2.06,2.94,6.81,0.431,1.81,4.0,0.453,1.13,2.81,0.4,16.0,0.049,26.75,0.94,2.06,4.31,0.478,1.44,2.94,0.489,0.63,1.38,0.455
Utah Jazz,25.0,"Sefolosha, Thabo",0.069,24.08,0.88,2.52,6.36,0.396,1.84,4.28,0.43,0.68,2.08,0.327,25.0,0.058,20.32,2.08,2.64,5.56,0.475,1.76,3.44,0.512,0.88,2.12,0.415
Utah Jazz,18.0,"Hood, Rodney",0.049,23.72,1.78,2.61,5.83,0.448,1.67,3.89,0.429,0.94,1.94,0.486,18.0,0.077,37.22,3.0,5.89,14.5,0.406,3.22,7.61,0.423,2.67,6.89,0.387
Utah Jazz,25.0,"Burks, Alec",0.057,19.8,1.2,2.04,4.64,0.44,1.36,3.0,0.453,0.68,1.64,0.415,25.0,0.068,23.64,1.84,3.2,8.08,0.396,2.16,5.44,0.397,1.04,2.64,0.394
Utah Jazz,16.0,"O'Neale, Royce",0.023,12.81,1.13,1.63,4.06,0.4,1.06,2.63,0.405,0.56,1.44,0.391,16.0,0.022,12.0,0.69,1.0,2.75,0.364,0.56,1.38,0.409,0.44,1.38,0.318
Memphis Grizzlies,24.0,"Gasol, Marc",0.217,66.58,4.08,6.33,16.79,0.377,4.33,10.38,0.418,2.0,6.42,0.312,24.0,0.198,60.79,4.5,6.29,16.58,0.379,4.96,12.46,0.398,1.33,4.13,0.323
Memphis Grizzlies,12.0,"Conley, Mike",0.078,47.67,4.08,5.42,13.75,0.394,3.42,7.42,0.461,2.0,6.33,0.316,12.0,0.103,63.25,1.67,5.08,14.83,0.343,3.17,8.5,0.373,1.92,6.33,0.303
Memphis Grizzlies,24.0,"Evans, Tyreke",0.147,45.08,3.96,5.29,12.71,0.416,3.88,8.04,0.482,1.42,4.67,0.304,24.0,0.172,52.79,2.42,5.88,13.0,0.452,4.08,8.75,0.467,1.79,4.25,0.422
Memphis Grizzlies,23.0,"Chalmers, Mario",0.131,41.83,3.74,5.3,10.78,0.492,3.83,7.78,0.492,1.48,3.0,0.493,23.0,0.138,44.04,1.04,2.48,7.57,0.328,1.83,4.74,0.385,0.65,2.83,0.231
Memphis Grizzlies,12.0,"Green, JaMychal",0.047,29.08,1.17,2.17,5.17,0.419,1.5,3.67,0.409,0.67,1.5,0.444,12.0,0.037,22.42,2.92,3.58,7.58,0.473,2.75,5.42,0.508,0.83,2.17,0.385
Memphis Grizzlies,24.0,"Brooks, Dillon",0.075,23.0,1.21,2.17,6.17,0.351,1.67,4.38,0.381,0.5,1.79,0.279,24.0,0.072,22.17,2.29,2.83,6.5,0.436,2.08,4.21,0.495,0.75,2.29,0.327
Memphis Grizzlies,18.0,"Harrison, Andrew",0.055,22.28,1.61,2.44,6.39,0.383,1.72,4.06,0.425,0.72,2.33,0.31,18.0,0.062,25.5,0.61,1.61,4.67,0.345,1.0,2.67,0.375,0.61,2.0,0.306
Memphis Grizzlies,19.0,"Parsons, Chandler",0.054,20.95,1.79,2.74,6.26,0.437,2.11,4.47,0.471,0.63,1.79,0.353,19.0,0.057,21.95,2.16,3.21,6.32,0.508,1.58,2.89,0.545,1.63,3.42,0.477
Memphis Grizzlies,23.0,"Martin, Jarell",0.056,18.04,0.39,1.13,3.52,0.321,0.87,2.61,0.333,0.26,0.91,0.286,22.0,0.041,13.73,1.45,1.68,4.41,0.381,1.32,3.0,0.439,0.36,1.41,0.258
Memphis Grizzlies,23.0,"Ennis III, James",0.056,18.04,1.13,2.39,4.74,0.505,2.04,3.65,0.56,0.35,1.09,0.32,23.0,0.049,15.7,1.96,2.17,4.87,0.446,1.57,3.04,0.514,0.61,1.83,0.333
Memphis Grizzlies,13.0,"McLemore, Ben",0.031,17.31,1.0,1.54,3.69,0.417,1.15,2.77,0.417,0.38,0.92,0.417,13.0,0.031,17.69,1.69,2.23,6.0,0.372,1.62,3.54,0.457,0.62,2.46,0.25
Memphis Grizzlies,2.0,"Selden, Wayne",0.002,9.0,2.0,2.5,3.5,0.714,2.0,3.0,0.667,0.5,0.5,1.0,2.0,0.003,11.0,1.0,1.0,2.5,0.4,0.5,1.5,0.333,0.5,1.0,0.5
Washington Wizards,16.0,"Wall, John",0.119,52.5,9.13,10.94,23.13,0.473,7.81,14.69,0.532,3.13,8.44,0.37,16.0,0.152,67.25,1.13,6.56,16.88,0.389,5.38,13.38,0.402,1.19,3.5,0.339
Washington Wizards,25.0,"Beal, Bradley",0.132,37.48,3.16,5.0,12.0,0.417,3.36,8.4,0.4,1.64,3.6,0.456,25.0,0.18,50.96,4.16,7.8,18.32,0.426,5.68,12.48,0.455,2.12,5.84,0.363
Washington Wizards,24.0,"Porter Jr., Otto",0.122,36.08,1.75,3.42,9.46,0.361,2.71,7.29,0.371,0.71,2.17,0.327,24.0,0.098,28.92,3.83,5.29,11.13,0.476,3.63,7.46,0.486,1.67,3.67,0.455
Washington Wizards,25.0,"Frazier, Tim",0.12,33.96,3.72,5.04,11.76,0.429,3.76,7.84,0.48,1.28,3.92,0.327,25.0,0.119,33.6,0.6,1.36,3.52,0.386,0.96,2.28,0.421,0.4,1.24,0.323
Washington Wizards,16.0,"Satoransky, Tomas",0.058,25.81,2.63,3.75,8.5,0.441,2.63,5.63,0.467,1.13,2.88,0.391,16.0,0.063,28.0,0.69,1.63,3.75,0.433,1.25,2.81,0.444,0.38,0.94,0.4
Washington Wizards,25.0,"Oubre Jr., Kelly",0.078,22.12,1.12,2.52,5.52,0.457,2.04,4.44,0.459,0.48,1.08,0.444,25.0,0.075,21.36,2.28,3.36,9.08,0.37,1.8,5.16,0.349,1.56,3.92,0.398
Washington Wizards,18.0,"Morris, Markieff",0.055,21.72,1.11,2.44,6.17,0.396,2.11,4.61,0.458,0.33,1.56,0.214,18.0,0.062,24.44,2.67,3.94,9.11,0.433,2.78,6.11,0.455,1.17,3.0,0.389
Washington Wizards,22.0,"Scott, Mike",0.061,19.73,0.64,1.45,4.32,0.337,0.91,2.68,0.339,0.55,1.64,0.333,22.0,0.053,17.0,2.36,3.0,5.82,0.516,2.32,4.09,0.567,0.68,1.73,0.395
Washington Wizards,25.0,"Meeks, Jodie",0.047,13.16,0.44,1.2,3.44,0.349,1.04,2.64,0.394,0.16,0.8,0.2,25.0,0.064,18.16,1.92,2.16,6.28,0.344,1.16,3.0,0.387,1.0,3.28,0.305
Washington Wizards,9.0,"Smith, Jason",0.015,11.44,0.11,0.67,2.67,0.25,0.44,1.78,0.25,0.22,0.89,0.25,8.0,0.01,8.5,0.5,0.88,3.5,0.25,0.75,1.88,0.4,0.13,1.63,0.077
Washington Wizards,6.0,"McCullough, Chris",0.01,11.33,0.17,0.33,1.17,0.286,0.33,1.0,0.333,0.0,0.17,0.0,6.0,0.005,6.33,1.17,1.17,3.5,0.333,1.0,2.67,0.375,0.17,0.83,0.2
Detroit Pistons,24.0,"Harris, Tobias",0.19,59.33,1.63,3.71,8.21,0.452,2.42,5.29,0.457,1.29,2.92,0.443,24.0,0.127,39.75,4.46,6.75,14.75,0.458,4.0,8.79,0.455,2.75,5.96,0.462
Detroit Pistons,24.0,"Jackson, Reggie",0.173,54.25,5.46,7.13,16.46,0.433,4.63,10.08,0.459,2.5,6.38,0.392,24.0,0.213,66.5,1.46,5.54,12.54,0.442,4.08,8.83,0.462,1.46,3.71,0.393
Detroit Pistons,24.0,"Smith, Ish",0.135,42.13,3.79,4.88,11.83,0.412,2.79,6.21,0.45,2.08,5.63,0.37,24.0,0.161,50.21,0.92,3.75,7.88,0.476,3.58,7.13,0.503,0.17,0.75,0.222
Detroit Pistons,21.0,"Tolliver, Anthony",0.1,35.57,1.0,2.62,5.81,0.451,2.1,4.43,0.473,0.52,1.38,0.379,21.0,0.057,20.52,1.71,1.9,5.24,0.364,0.52,1.05,0.5,1.38,4.19,0.33
Detroit Pistons,24.0,"Bradley, Avery",0.075,23.58,2.08,2.96,7.42,0.399,2.0,4.75,0.421,0.96,2.67,0.359,24.0,0.11,34.38,4.5,5.33,12.88,0.414,3.5,8.46,0.414,1.83,4.42,0.415
Detroit Pistons,8.0,"Leuer, Jon",0.023,22.0,0.63,2.13,4.88,0.436,2.13,3.75,0.567,0.0,1.13,0.0,8.0,0.017,15.88,1.63,1.75,4.5,0.389,1.75,4.13,0.424,0.0,0.38,0.0
Detroit Pistons,8.0,"Ellenson, Henry",0.023,21.25,0.63,0.88,2.63,0.333,0.5,1.63,0.308,0.38,1.0,0.375,8.0,0.014,13.13,1.5,1.75,4.5,0.389,0.88,2.13,0.412,0.88,2.38,0.368
Detroit Pistons,21.0,"Johnson, Stanley",0.054,19.33,1.29,2.38,6.52,0.365,1.57,3.81,0.413,0.81,2.71,0.298,21.0,0.06,21.43,1.95,2.38,7.38,0.323,1.29,3.71,0.346,1.1,3.67,0.299
Detroit Pistons,19.0,"Kennard, Luke",0.028,11.0,1.21,1.53,3.63,0.42,0.84,2.37,0.356,0.68,1.26,0.542,19.0,0.037,14.47,1.74,2.37,5.63,0.421,1.37,3.26,0.419,1.0,2.37,0.422
Detroit Pistons,11.0,"Bullock, Reggie",0.014,9.64,1.09,1.55,2.73,0.567,0.82,1.82,0.45,0.73,0.91,0.8,11.0,0.014,9.27,0.64,0.73,2.73,0.267,0.45,1.0,0.455,0.27,1.73,0.158
Detroit Pistons,22.0,"Galloway, Langston",0.026,9.0,0.68,1.14,2.18,0.521,0.82,1.27,0.643,0.32,0.91,0.35,22.0,0.035,11.82,1.5,2.0,5.05,0.396,0.68,1.59,0.429,1.32,3.45,0.382
Charlotte Hornets,21.0,"Walker, Kemba",0.19,58.1,6.24,8.1,18.86,0.429,5.81,12.57,0.462,2.29,6.29,0.364,21.0,0.248,75.62,1.62,6.43,16.95,0.379,4.33,10.52,0.412,2.1,6.43,0.326
Charlotte Hornets,22.0,"Kaminsky, Frank",0.147,43.0,1.41,3.36,9.77,0.344,2.73,6.95,0.392,0.64,2.82,0.226,22.0,0.101,29.59,2.27,3.64,9.64,0.377,2.5,6.32,0.396,1.14,3.32,0.342
Charlotte Hornets,23.0,"Williams, Marvin",0.14,39.13,1.04,3.09,8.78,0.351,2.22,6.13,0.362,0.87,2.65,0.328,23.0,0.086,23.96,2.7,3.04,6.91,0.44,1.52,3.43,0.443,1.52,3.48,0.438
Charlotte Hornets,10.0,"Batum, Nicolas",0.06,38.7,3.7,5.4,15.2,0.355,4.7,11.8,0.398,0.7,3.4,0.206,10.0,0.062,39.9,2.2,3.6,10.2,0.353,2.6,5.9,0.441,1.0,4.3,0.233
Charlotte Hornets,12.0,"Carter-Williams, Michael",0.053,28.25,2.75,4.0,9.5,0.421,3.42,7.67,0.446,0.58,1.83,0.318,12.0,0.061,32.75,0.58,1.25,5.58,0.224,0.92,4.5,0.204,0.33,1.08,0.308
Charlotte Hornets,23.0,"Lamb, Jeremy",0.093,25.91,3.3,4.26,10.57,0.403,3.22,7.87,0.409,1.04,2.7,0.387,23.0,0.114,31.7,2.17,4.65,11.65,0.399,3.39,8.17,0.415,1.26,3.48,0.363
Charlotte Hornets,23.0,"Howard, Dwight",0.089,24.7,1.17,2.52,6.61,0.382,1.83,4.65,0.393,0.7,1.96,0.356,23.0,0.081,22.61,3.26,4.17,9.52,0.438,4.17,9.48,0.44,0.0,0.04,0.0
Charlotte Hornets,20.0,"Monk, Malik",0.055,17.8,1.75,2.65,5.95,0.445,2.2,4.6,0.478,0.45,1.35,0.333,20.0,0.075,24.15,1.4,2.2,7.0,0.314,1.0,3.1,0.323,1.2,3.9,0.308
Charlotte Hornets,12.0,"Graham, Treveon",0.027,14.58,1.42,2.25,5.0,0.45,1.42,3.42,0.415,0.83,1.58,0.526,12.0,0.025,13.58,1.17,1.42,3.75,0.378,1.0,2.25,0.444,0.42,1.5,0.278
Charlotte Hornets,17.0,"Kidd-Gilchrist, Michael",0.038,14.29,0.65,1.59,3.94,0.403,1.06,2.59,0.409,0.53,1.35,0.391,17.0,0.046,17.41,3.06,3.65,8.29,0.44,3.65,8.24,0.443,0.0,0.06,0.0
Charlotte Hornets,19.0,"Zeller, Cody",0.041,13.89,0.89,1.47,4.0,0.368,0.74,2.26,0.326,0.74,1.74,0.424,19.0,0.039,13.26,1.89,1.95,4.63,0.42,1.89,4.58,0.414,0.05,0.05,1.0
Charlotte Hornets,22.0,"Bacon, Dwayne",0.045,13.05,0.86,1.41,4.45,0.316,0.91,2.95,0.308,0.5,1.5,0.333,22.0,0.043,12.59,1.05,1.5,4.18,0.359,1.05,2.86,0.365,0.45,1.32,0.345
Charlotte Hornets,9.0,"O'Bryant III, Johnny",0.014,10.33,0.44,0.78,2.67,0.292,0.56,1.78,0.313,0.22,0.89,0.25,9.0,0.012,8.44,1.0,1.56,3.89,0.4,1.33,3.11,0.429,0.22,0.78,0.286
