TEAM_NAME,G_ON_MADE,PLAYER_NAME,FREQUENCY_ON_MADE,PASS_ON_MADE,AST_ON_MADE,FGM_ON_MADE,FGA_ON_MADE,FG_PCT_ON_MADE,FG2M_ON_MADE,FG2A_ON_MADE,FG2_PCT_ON_MADE,FG3M_ON_MADE,FG3A_ON_MADE,FG3_PCT_ON_MADE,G_ON_RECEIVED,FREQUENCY_ON_RECEIVED,PASS_ON_RECEIVED,AST_ON_RECEIVED,FGM_ON_RECEIVED,FGA_ON_RECEIVED,FG_PCT_ON_RECEIVED,FG2M_ON_RECEIVED,FG2A_ON_RECEIVED,FG2_PCT_ON_RECEIVED,FG3M_ON_RECEIVED,FG3A_ON_RECEIVED,FG3_PCT_ON_RECEIVED
Portland Trail Blazers,24.0,"Nurkic, Jusuf",0.153,42.63,2.04,4.17,10.08,0.413,3.0,6.67,0.45,1.17,3.42,0.341,24.0,0.131,36.67,4.46,5.54,13.13,0.422,5.54,12.92,0.429,0.0,0.21,0.0
Portland Trail Blazers,23.0,"McCollum, CJ",0.117,34.17,2.61,4.13,11.0,0.375,2.96,7.48,0.395,1.17,3.52,0.333,23.0,0.166,48.48,2.87,7.35,17.22,0.427,4.74,11.48,0.413,2.61,5.74,0.455
Portland Trail Blazers,24.0,"Turner, Evan",0.115,32.04,2.25,4.0,10.71,0.374,2.71,7.29,0.371,1.29,3.42,0.378,24.0,0.111,30.96,0.67,2.67,7.38,0.362,2.33,5.67,0.412,0.33,1.71,0.195
Portland Trail Blazers,11.0,"Aminu, Al-Farouq",0.041,25.0,1.45,3.0,7.09,0.423,1.82,4.73,0.385,1.18,2.36,0.5,11.0,0.031,18.91,2.45,3.09,6.82,0.453,1.18,2.55,0.464,1.91,4.27,0.447
Portland Trail Blazers,20.0,"Napier, Shabazz",0.062,20.7,1.35,2.9,7.45,0.389,2.4,5.05,0.475,0.5,2.4,0.208,20.0,0.07,23.3,0.75,2.05,4.9,0.418,1.2,3.2,0.375,0.85,1.7,0.5
Portland Trail Blazers,24.0,"Harkless, Maurice",0.068,18.88,0.54,1.63,4.75,0.342,1.21,3.42,0.354,0.42,1.33,0.313,24.0,0.057,15.79,1.63,1.71,4.67,0.366,1.29,3.08,0.419,0.42,1.58,0.263
Portland Trail Blazers,24.0,"Connaughton, Pat",0.059,16.58,1.13,2.29,5.63,0.407,1.79,4.33,0.413,0.5,1.29,0.387,24.0,0.066,18.33,2.08,2.21,4.96,0.445,1.0,2.17,0.462,1.21,2.79,0.433
Portland Trail Blazers,9.0,"Leonard, Meyers",0.017,12.33,0.44,1.0,2.56,0.391,0.67,1.56,0.429,0.33,1.0,0.333,9.0,0.015,11.0,1.67,2.0,3.67,0.545,1.33,2.33,0.571,0.67,1.33,0.5
Portland Trail Blazers,13.0,"Swanigan, Caleb",0.016,8.31,0.62,0.92,2.46,0.375,0.54,1.38,0.389,0.38,1.08,0.357,12.0,0.015,8.42,0.75,0.92,3.0,0.306,0.83,2.58,0.323,0.08,0.42,0.2
Portland Trail Blazers,10.0,"Layman, Jake",0.008,5.3,0.2,1.0,1.5,0.667,0.7,1.1,0.636,0.3,0.4,0.75,9.0,0.007,5.0,0.56,0.67,1.78,0.375,0.44,1.11,0.4,0.22,0.67,0.333
